"startup_id","startup_name","macro_theme","emergent_theme","market_label","technical_stack","transition_function","output_class","feedstock","industry_destination","market_interface","scope_decision","scope_reason","scope_source","evidence_source","notes","confidence"
"ergo_bioscience","Ergo Bioscience","food biotech and novel ingredients","food transition ingredients and proteins","plant-cell biotechnology for sustainable ingredients","plant cell culture; cell line development; biotech ingredient platform","animal-derived-and-unsustainable-ingredients-to-plant-cell-based-alternatives","ingredient platform","plant cell systems","food, health, beauty and agriculture","ingredient and platform company","include","official_website_signal_bio_based_or_biocentric","ergo_bioscience_official_site","ergo_bioscience_official_site_2026","Official site describes plant-cell biotechnology to create next-generation sustainable ingredients for food, health, beauty and agriculture.","0.90"
"laurus","Laurus","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","precision fermentation and recombinant biomanufacturing","precision fermentation; recombinant technology; animal-free protein manufacturing","animal-derived-and-less-consistent-inputs-to-animal-free-biomanufactured-proteins","biomanufacturing platform","microbial cell factories and recombinant production systems","biopharma, food, health, nutrition and personal care","biomanufacturing company","include","official_website_signal_bio_based_or_biocentric","laurus_official_site","laurus_official_site_2026","Official site describes a research-driven biomanufacturing organization with precision fermentation and recombinant technology producing animal-free proteins and growth factors.","0.91"
"protiva","Protiva","biobased chemistry and advanced materials","circular material systems","bio-based textile color chemistry","bio-based pigments; textile validation; traceability","hazardous-textile-chemistry-to-bio-based-traceable-colorants","bio-based material input","bio-based pigments","textiles and color chemistry","materials supplier","include","official_website_signal_bio_based_or_biocentric","protiva_official_site","protiva_official_site_2026","Official site describes traceable, certified bio-based pigments validated in textile applications that reduce reliance on hazardous chemistry.","0.90"
"viewmind","ViewMind","diagnostics and medtech","health diagnostics and medtech","ocular digital phenotyping for neurocognitive health","eye tracking; ocular digital phenotyping; statistical brain-health models","late-invasive-cognitive-assessment-to-scalable-non-invasive-neurodiagnostics","diagnostic platform","eye movement and neurocognitive assessment data","brain health, neurology and pharma studies","diagnostic company","include","official_website_signal_bio_based_or_biocentric","viewmind_official_site","viewmind_official_site_2026","Official site describes ocular digital phenotyping technology that assesses cognitive status through eye movement responses and specific cognitive domains.","0.92"
"wisy","Wisy","peripheral or non-core digital ventures","digital coordination and market infrastructure","AI retail execution and shelf intelligence platform","computer vision; offline AI; retail execution analytics; demand and replenishment recommendations","manual-store-audits-to-ai-retail-execution-intelligence","retail execution software platform","shelf images, CPG inventory and store execution data","consumer goods brands and retail execution","B2B enterprise AI platform","exclude","full_digital_cpg_retail_execution_no_bio_materiality_signal","wisy_official_site","wisy_official_site_2026","Official site describes Wisy as an enterprise AI co-pilot for CPG and retail execution, automating shelf data collection, planogram compliance and recommendations; this is retail SaaS rather than a bio/material startup.","0.90"
"zavia_bio","Zavia Bio","ag biologicals and crop resilience","ag biologicals and crop resilience","agricultural biosolutions for resilience","biological solutions; agricultural biotechnology","less-resilient-farming-to-biological-solutions-for-sustainable-agriculture","ag biological platform","agricultural biological systems","agriculture","ag biotech company","include","external_profile_signal_bio_based_or_biocentric","zavia_bio_linkedin_official","zavia_bio_linkedin_2026","LinkedIn company page describes biosolutions for resilient and sustainable agriculture and biological solutions for a more sustainable, resilient and safe agricultural system.","0.79"
"zev_biotech","ZEV Biotech","diagnostics and medtech","health diagnostics and medtech","distributed molecular diagnostics","molecular diagnostics; lab-deployable platform","centralized-testing-to-any-lab-diagnostics","diagnostic platform","molecular diagnostic workflows","healthcare and labs","diagnostic company","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","gridx_portfolio_2026","GRIDX portfolio describes a molecular diagnostics platform that can be placed in any lab in the world.","0.82"
"zoomagri","ZoomAgri","precision agriculture and resource intelligence","precision agriculture intelligence","agri commodity inspection intelligence","computer vision; machine learning; digital inspection and certification","manual-subjective-inspection-to-digital-objective-agri-certification","ag intelligence platform","agri commodity image and inspection data","agri commodities and food supply chains","B2B platform","include","official_site_signal_material_ag_system","zoomagri_official_site","zoomagri_official_site_2026","Official site describes a global agtech company transforming testing, inspection and certification of agri commodities and food via computer vision and machine learning.","0.89"
"auravant","Auravant","precision agriculture and resource intelligence","precision agriculture intelligence","precision agriculture and agronomic decision platform","agronomic models; satellite imagery; georeferenced layers; operational traceability","fragmented-field-data-to-traceable-precision-decisions","ag intelligence platform","satellite, agronomic and management data","agriculture and agribusiness","B2B platform","include","official_website_signal_material_ag_system","auravant_official_site","auravant_official_site_2026","Official site describes precision agriculture, agronomic models, satellite imagery and traceability to make crop production more efficient, sustainable and economically viable.","0.92"
"biometallum","BioMetallum","climate, energy and resource systems","critical materials and resource systems","biomining and direct lithium extraction","biomining; engineered microorganisms; synthetic biology; AI-driven exploration","chemical-intensive-lithium-extraction-to-cleaner-biological-critical-minerals-recovery","critical materials platform","lithium brines and metal extraction systems","lithium, mining and critical materials","industrial solution supplier","include","official_website_signal_climate_materiality_and_resource_transition","biometallum_official_site","biometallum_official_site_2026","Official site describes an Argentinian biomining startup using microorganisms, synthetic biology and AI-driven exploration for efficient lithium and metal extraction with lower water use and environmental impact.","0.93"
"einsted","Einsted","climate, energy and resource systems","critical materials and resource systems","plasma pyrolysis for clean hydrogen and conductive carbon","pulsed nano plasma; plasma pyrolysis; methane-to-hydrogen conversion","emissions-intensive-hydrogen-production-to-on-site-clean-hydrogen-and-carbon-co-products","industrial decarbonization platform","methane and industrial process gases","industrial decarbonization, hydrogen and carbon materials","industrial equipment and solution provider","include","official_website_signal_climate_materiality_and_resource_transition","einsted_official_site","einsted_official_site_2026","Official site describes plasma pyrolysis technology that converts methane into hydrogen and carbon, enabling on-site decarbonization without harmful emissions or water consumption.","0.92"
"gigablue","Gigablue","climate, energy and resource systems","nature restoration and carbon systems","ocean carbon removal and marine resilience platform","microalgae carbon fixation and sinking; oceanographic intelligence; in-situ sensing; MMRV","atmospheric-carbon-and-ocean-imbalance-to-durable-marine-carbon-removal","planetary climate intervention platform","marine systems and ocean carbon cycles","ocean systems, carbon removal and climate resilience","climate infrastructure platform","include","official_website_signal_climate_materiality_and_resource_transition","gigablue_official_site","gigablue_official_site_2026","Official site describes Gigablue as a science-led ocean carbon removal company using microalgae carbon fixation and sinking, oceanographic intelligence and environmental monitoring to restore ocean balance.","0.93"
"alkemio","Alkemio","climate, energy and resource systems","critical materials and resource systems","modular sustainable rare earth refining","high-purity separation platform; modular refining; advanced separation chemistry","fragile-geopolitical-and-polluting-refining-to-scalable-cleaner-critical-materials-processing","critical materials platform","rare earth concentrates and refining inputs","rare earths, critical materials and clean technologies","industrial solution supplier","include","official_website_signal_climate_materiality_and_resource_transition","alkemio_official_site","alkemio_official_site_2026","Official site describes a high-purity separation platform that unlocks scalable and sustainable rare earth refining for clean technologies such as EVs, wind turbines and semiconductors.","0.94"
"logshare","LogShare","climate, energy and resource systems","low-emission logistics and supply-chain efficiency","collaborative freight decarbonization platform","collaborative freight sharing; route matching; monitoring; traceability; CO2 analytics","empty-return-trips-and-fragmented-cargo-routes-to-lower-emission-logistics","logistics climate platform","cargo routes, fleet utilization and freight data","cargo transportation, logistics and material supply chains","B2B logistics platform","include","official_website_signal_material_logistics_system","logshare_official_site","logshare_official_site_2026","Official site describes collaborative freight sharing, route coordination, monitoring and direct CO2 reduction in cargo transportation and return freight.","0.82"
"solfium","Solfium","climate, energy and resource systems","distributed clean-energy deployment","distributed solar, storage and e-mobility platform","solar deployment; energy storage; e-mobility; value-chain decarbonization","fossil-energy-dependence-to-distributed-clean-energy-adoption","distributed clean-energy deployment platform","","energy transition, solar, storage and e-mobility","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","official_website","Include as planetary-boundary transition infrastructure, not as biotech.","0.82"
"alytix","Alytix","therapeutics and regenerative medicine","therapeutic and regenerative biology","bacteriophage therapeutics and prevention platform","bacteriophage discovery; metagenomic diagnostics; phage-cocktail design","antibiotic-resistance-to-targeted-phage-based-prevention-and-treatment","phage therapeutics platform","bacteriophages, pathogens and host bacteria","animal and human health","therapeutic platform","include","official_website_signal_bio_based_or_biocentric","alytix_official_site","alytix_official_site_2026","Official site describes bacteriophage-based solutions for infectious diseases in animal and human health, combining microbiological, genomic and bioinformatic tools.","0.91"
"arcomed","Arcomed","diagnostics and medtech","health diagnostics and medtech","advanced infusion systems and hospital medtech","infusion pumps; digital integration; hospital safety systems","manual-and-risk-prone-infusion-workflows-to-safer-integrated-clinical-delivery","clinical device platform","infusion systems and clinical consumables","hospitals and critical care","medical device supplier","include","official_website_signal_medtech_clinical_system","arcomed_official_site","arcomed_official_site_2026","Official site describes infusion systems and integrated hospital solutions focused on patient safety and workflow efficiency.","0.66"
"circa_therapeutics","Circa Therapeutics","therapeutics and regenerative medicine","therapeutic and regenerative biology","targeted protein degradation therapeutics","small-molecule degraders; E3 ligase binders; medicinal chemistry","undruggable-proteins-to-targeted-degradation-therapies","therapeutic platform","disease-related intracellular proteins","oncology and rare diseases","therapeutic company","include","official_website_signal_bio_based_or_biocentric","circa_official_site","circa_official_site_2026","Official site describes small-molecule degraders and E3 ligase binders to eliminate disease-causing proteins in rare diseases and oncology.","0.90"
"eolo_pharma","Eolo Pharma","therapeutics and regenerative medicine","therapeutic and regenerative biology","thermogenesis-based obesity therapeutics","novel molecules; thermogenesis pathway modulation","metabolic-dysfunction-to-energy-expenditure-based-obesity-therapy","therapeutic pipeline","metabolic pathways and novel molecules","obesity and metabolic disease","clinical-stage biotech","include","official_website_signal_bio_based_or_biocentric","eolo_official_site","eolo_official_site_2026","Official site describes a clinical-stage biotech developing obesity and metabolic disease therapies based on thermogenesis and energy expenditure pathways.","0.93"
"galtec","Galtec Life","therapeutics and regenerative medicine","galectin immunotherapy platforms","galectin-based immunotherapy platform","galectin biology; immunotherapy; oncology; autoimmune disease; inflammatory disease; therapeutic biotech","broad-inflammatory-disease-management-to-targeted-galectin-immunotherapy","galectin-modulating therapeutic platform","","oncology, autoimmune and inflammatory disease therapeutics","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","official_website","Include as core therapeutic biotechnology.","0.88"
"glycox","GlycoX","food biotech and novel ingredients","food transition ingredients and proteins","metabolic health functional ingredient platform","plant-derived ingredient development; metabolic health formulation","reactive-metabolic-care-to-everyday-functional-prevention","functional ingredient","plant-derived bioactives","food, nutrition and metabolic health","ingredient platform","include","official_website_signal_bio_based_or_biocentric","glycox_official_site","glycox_official_site_2026","Official site describes a plant-based ingredient for blood-sugar control and metabolic resilience designed for everyday use.","0.88"
"inbioar","Inbioar","ag biologicals and crop resilience","genome-enabled crop resilience","botanical crop-protection ingredient discovery platform","plant extract libraries; field collection; greenhouse trials; compound identification","synthetic-crop-protection-to-botanical-low-residue-solutions","crop protection ingredient platform","plant extracts and natural active ingredients","agroindustry and crop protection","technology supplier","include","official_website_signal_bio_based_or_biocentric","inbioar_official_site","inbioar_official_site_2026","Official site describes discovery and development of botanical active ingredients for herbicide, antifungal, insecticide and stimulant uses in crop protection.","0.92"
"keclon","Keclon","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","precision fermentation biosolutions platform","precision fermentation; microorganisms; enzyme development","conventional-industrial-processing-to-microbial-biosolutions","industrial biotech platform","microorganisms and fermentation processes","food, feed, biofuels, beauty and care","industrial solution supplier","include","official_website_signal_bio_based_or_biocentric","keclon_official_site","keclon_official_site_2026","Official site describes precision fermentation and microorganism-based production of enzymes, bioactives and alternative proteins.","0.94"
"kigui","Kigüi","climate, energy and resource systems","climate and resource intelligence platforms","AI copilot for retail waste and rotation management","AI task prioritization; expiry tracking; shelf validation","food-loss-and-retail-waste-to-better-rotation-and-lower-losses","resource efficiency software","sales, stock, expiry and shelf data","retail food and CPG operations","B2B software platform","include","official_website_signal_material_resource_efficiency","kigui_official_site","kigui_official_site_2026","Official site describes AI for expiry-based stock accuracy, task prioritization and promotion execution to reduce losses in retail operations.","0.73"
"laurus_ag_tech","Laurus AG Tech","climate, energy and resource systems","climate and resource intelligence platforms","autonomous urban farming network","distributed autonomous farming infrastructure","long-food-miles-and-costly-vertical-farms-to-low-cost-urban-production","urban agriculture infrastructure","urban spare spaces and controlled farms","fresh vegetables and urban food supply","infrastructure operator","include","official_portfolio_signal_material_ag_system","laurus_f6s_profile","laurus_f6s_profile_2026","F6S profile describes autonomous urban farms that produce affordable fresh vegetables in decentralized city spaces with lower capital and operating costs.","0.70"
"microgenesis","Microgenesis","diagnostics and medtech","health diagnostics and medtech","fertility diagnostics and reproductive age assessment","inflammatory profiling; reproductive age scoring; personalized interpretation","low-visibility-into-reproductive-health-to-better-fertility-decision-support","diagnostic and assessment platform","patient questionnaire and inflammatory profile data","fertility and reproductive health","clinical assessment platform","include","official_website_signal_medtech_clinical_system","microgenesis_official_site","microgenesis_official_site_2026","Official site describes fertility support tools including reproductive age testing, inflammatory profiling and personalized interpretation for IVF-related decisions.","0.84"
"monte_caldera","Monte Caldera Technology","biobased chemistry and advanced materials","biobased chemistry and materials","advanced-physics materials discovery platform","advanced physics molecular modeling; materials simulation","slow-costly-materials-rd-to-faster-sustainable-materials-discovery","materials discovery platform","molecular and materials data","energy, chemicals, semiconductors and biotech","R&D platform provider","include","official_website_signal_material_transition","montecaldera_official_site","montecaldera_official_site_2026","Official site describes advanced-physics molecular modeling to accelerate materials discovery for energy, chemicals, semiconductors and biotech with sustainability applications.","0.72"
"mzp","MZP","diagnostics and medtech","health diagnostics and medtech","advanced coagulation diagnostics for critical care","point-of-care coagulation analysis; viscoelastic diagnostics","heuristic-transfusion-decisions-to-better-coagulation-guidance","diagnostic platform","coagulation and bleeding management data","critical care, surgery and transfusion medicine","medtech company","include","official_portfolio_signal_clinical_material_system","mzp_f6s_profile","mzp_f6s_profile_2026","F6S profile describes advanced coagulation diagnostics for bleeding management in trauma, surgery, organ transplants and critical care.","0.78"
"nanotransfer","Nanotransfer","therapeutics and regenerative medicine","therapeutic and regenerative biology","non-viral gene delivery platform","metal-oxide nanoparticles; non-viral gene delivery","limited-gene-therapy-access-to-safer-and-more-flexible-delivery","gene delivery platform","nucleic acids and gene-editing payloads","gene therapy and genetic disease","platform provider","include","official_website_signal_bio_based_or_biocentric","nanotransfer_official_site","nanotransfer_official_site_2026","Official site describes a non-viral nanoparticle delivery library for gene therapies and gene-editing payloads.","0.91"
"naturannova","Naturannova","food biotech and novel ingredients","food transition ingredients and proteins","ai-enabled sustainable protein ingredient platform","AI; bioinformatics; lab validation; microorganism-based production","commodity-protein-limitations-to-novel-clean-label-ingredients","functional ingredient platform","plant proteins and microbial production systems","food ingredients and protein innovation","ingredient company","include","official_website_signal_bio_based_or_biocentric","naturannova_official_site","naturannova_official_site_2026","Official site describes AI, bioinformatics, experimental validation and microorganism-based production of novel plant-protein ingredients such as sweet proteins.","0.90"
"neocell","Neocell","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","biopharma development and biosimilar platform","cell line development; process optimization; formulation; analytical development","high-cost-biologics-development-to-scalable-biosimilar-production","biopharma development platform","cell lines and biologics processes","biopharma and biologics manufacturing","development and manufacturing partner","include","official_website_signal_bio_based_or_biocentric","neocell_official_site","neocell_official_site_2026","Official site describes end-to-end development, tech transfer and manufacturing support for biologics and biosimilars.","0.82"
"nunatak_biotech","Nunatak Biotech","ag biologicals and crop resilience","plant microbiome and soil restoration","plant-microbiome soil restoration technology","plant microbiome; microbial symbiosis; soil restoration; crop resilience; regenerative agriculture","degraded-soils-and-stressed-crops-to-microbiome-enabled-regeneration","plant-microbiome bioinput platform","","crop production, soil restoration and regenerative agriculture","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","official_website","Include as core ag biologicals / soil regeneration technology.","0.88"
"onco_precision","Onco Precision","therapeutics and regenerative medicine","therapeutic and regenerative biology","patient-centric oncology antibody discovery platform","high-throughput biology; ai/ml; patient-derived models","late-patient-integration-to-better-translational-oncology-therapeutics","antibody therapeutics platform","patient-derived oncology data and biology models","oncology therapeutics","therapeutic company","include","official_website_signal_bio_based_or_biocentric","oncoprecision_official_site","oncoprecision_official_site_2026","Official site describes a platform therapeutics company using high-throughput biology and AI/ML to discover oncology antibody programs with patient-derived data.","0.90"
"plamic_biotech","Plamic Biotech","diagnostics and medtech","health diagnostics and medtech","microfluidic lab-on-a-chip cancer platform","microfluidic chips; nanomedicine synthesis; predictive treatment testing","trial-and-error-oncology-to-predictive-microfluidic-personalization","lab-on-a-chip platform","biopsy samples and nanomedicine formulations","cancer therapeutics and personalized medicine","technology platform","include","official_public_signal_bio_based_or_biocentric","plamic_public_profile","plamic_public_profile_2026","Argentina.gob.ar describes PLAMIC as a microfluidic lab-on-a-chip platform for oncology nanomedicine synthesis and predictive treatment selection from patient biopsies.","0.76"
"scitherm_therapeutics","Scitherm Therapeutics","therapeutics and regenerative medicine","therapeutic and regenerative biology","thermogenic obesity therapeutics","in-silico molecular design; in-vitro validation","lipid-accumulation-to-thermogenesis-based-metabolic-therapy","therapeutic pipeline","thermogenic candidates and lipid pathways","obesity and metabolic disease","therapeutic company","include","official_website_signal_bio_based_or_biocentric","scitherm_official_site","scitherm_official_site_2026","Official site describes in-silico-designed thermogenic therapeutic candidates for obesity and related metabolic diseases.","0.90"
"spherebio","SphereBio","therapeutics and regenerative medicine","therapeutic and regenerative biology","personalized cancer vaccine and therapeutic platform","nanotechnology; synthetic biology; bioinformatics","one-size-fits-all-cancer-therapy-to-tailored-cell-training-treatments","therapeutic platform","tumor data and molecular payloads","cancer and autoimmune disease","therapeutic company","include","official_website_signal_bio_based_or_biocentric","spherebio_official_site","spherebio_official_site_2026","Official site describes a platform combining nanotechnology, AI and synthetic biology to create personalized vaccines and therapeutics for cancer and autoimmune diseases.","0.92"
"huiro","Huiro","climate, energy and resource systems","nature restoration and carbon systems","regenerative seaweed cultivation for marine restoration","regenerative aquaculture; seaweed cultivation; ecosystem restoration","degraded-coastal-ecosystems-to-regenerative-marine-biomass-systems","regenerative biomass and restoration platform","seaweed biomass and coastal marine ecosystems","marine ecosystems, coastal communities and blue bioeconomy","project developer and operator","include","official_website_signal_biocentric_planetary_regeneration","huiro_official_site","huiro_official_site_2026","Official site describes regenerative seaweed farming to restore marine ecosystems, capture carbon and create sustainable economic opportunities for coastal communities.","0.90"
"branch_energy","Branch Energy","climate, energy and resource systems","distributed clean-energy infrastructure","distributed clean-energy and battery resilience platform","on-site batteries; clean-energy infrastructure; energy analytics; carbon reduction; resilience management","carbon-intensive-grid-dependence-to-resilient-clean-energy-infrastructure","distributed energy-resilience platform","","commercial, industrial and energy-transition customers","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","official_public_profile","Include as planetary-boundary transition infrastructure, not as bio-based technology.","0.78"
"radbio","Radbio","therapeutics and regenerative medicine","biologic therapeutics for fibrosis and cancer","TGF-beta biologic therapeutics","biologic therapeutics; TGF-beta modulation; biomolecule development; fibrosis; oncology","limited-fibrosis-and-cancer-treatment-to-targeted-biologic-therapeutics","biologic therapeutic candidate","","fibrosis, oncology and complex chronic disease therapeutics","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","official_website","Include as therapeutic biotechnology.","0.88"
"syocin_bio","Syocin Biotech","ag biologicals and crop resilience","ag biologicals and crop resilience","precision protein biobactericides for crop protection","synthetic biology; protein engineering; microbial production","bacterial-crop-disease-to-precision-biological-control","crop protection biological","protein-based biobactericides","crop protection and sustainable agriculture","ag biotech company","include","official_website_signal_bio_based_or_biocentric","syocin_official_site","syocin_official_site_2026","Official site describes protein-based biobactericides and a synthetic biology platform to fight bacterial plant diseases while preserving microbiomes and soil health.","0.92"
"ocular_bio_design","Ocular Bio Design","therapeutics and regenerative medicine","therapeutic and regenerative biology","bioengineered corneal tissue for vision restoration","tissue engineering; corneal cell culture; biomaterials","corneal-scarcity-to-scalable-bioengineered-vision-restoration","regenerative tissue platform","corneal tissue cells and biomaterials","regenerative medicine and ophthalmology","regenerative medicine company","include","official_public_signal_bio_based_or_biocentric","ocular_bio_design_public_profile","ocular_bio_design_public_profile_2026","Tecnologico de Monterrey describes Ocular Bio Design as a tissue engineering spin-off creating functional, biosynthetic and biocompatible corneal tissue to restore vision.","0.88"
"pregen","PreGen","diagnostics and medtech","health diagnostics and medtech","affordable genomic cancer prognosis tests","AI; PCR-based diagnostics; genomics","low-access-oncology-prognosis-to-affordable-local-genomic-testing","molecular diagnostic test","tumor biopsy and genomic data","precision oncology and molecular diagnostics","diagnostic company","include","official_public_signal_bio_based_or_biocentric","pregen_public_profile","pregen_public_profile_2026","GRIDX describes PreGen as an accessible genomic test that predicts prostate cancer aggressiveness from the initial biopsy using AI trained on more than 5,000 tumors.","0.90"
"abastra","AbAstra","peripheral or non-core digital ventures","digital coordination and market infrastructure","custom software development services","software engineering; custom development","generic-business-software-needs-to-custom-it-delivery","software services","general enterprise software requirements","general software services","software development services","exclude","full_digital_no_materiality_signal","abastra_official_site","abastra_official_site_2026","Official site presents Abastra as a software design and development company serving multiple industries with custom technological solutions.","0.97"
"qnity","Qnity","computational biology and scientific software","quantum sensing for drug discovery","quantum electrochemical sensing for molecular binding analysis","quantum electrochemistry; electrochemical sensors; drug discovery; molecular binding analysis","slow-expensive-drug-discovery-to-real-time-label-free-molecular-analysis","drug discovery sensing platform","molecular and biological binding affinity data","drug discovery and pharma R&D","B2B R&D platform","include","external_source_signal_bio_drug_discovery_latam_founder_ip","linkedin_and_startup_network","linkedin_qnity_2026","Public profiles describe Qnity as a quantum electrochemical sensor company for drug discovery, with Brazilian/UNESP signal and life-science molecular binding use cases.","0.78"
"migma","MIGMA","food biotech and novel ingredients","food shelf-life extension and antioxidant systems","AI-designed antioxidant systems for food, animal nutrition and cosmetics","AI; chemistry; R&D; antioxidant formulations; laboratory validation","short-shelf-life-and-waste-to-tailored-antioxidant-systems","functional antioxidant formulation platform","antioxidant mixtures and formulation data","food, pet food, animal nutrition and cosmetics","B2B formulation licensing and services","include","external_source_signal_food_bioeconomy_and_waste_reduction","linkedin_company_profile","linkedin_migma_2026","LinkedIn and CATAL1.5T materials describe MIGMA as a Mendoza startup using AI and advanced chemistry to design antioxidant systems that extend shelf life and reduce waste.","0.78"
"ruuts","Ruuts","climate, energy and resource systems","regenerative agroforestry and carbon systems","regenerative agriculture incentives and ecological outcome measurement","carbon programs; ecological monitoring; regenerative agriculture; producer incentives","extractive-farming-to-regenerative-ecosystem-outcomes","regenerative land-use and carbon program platform","soil carbon, biodiversity and water-cycle outcome data","agriculture, land use and carbon programs","B2B/B2B2C regenerative program platform","include","official_site_signal_planetary_boundary_stewardship","official_site_and_climatebase","ruuts_official_climatebase_2026","Ruuts describes regenerative agriculture programs that capture carbon, restore biodiversity and create market incentives for producers in Latin America.","0.86"
"tell","Tell","peripheral or non-core digital ventures","open banking and payments infrastructure","open banking compliance and payment API infrastructure","open banking APIs; payment verification; account provider compliance","banking-compliance-to-open-finance-api-infrastructure","fintech API platform","banking and payments data","financial services and payments","B2B fintech SaaS","exclude","full_digital_fintech_no_bio_materiality_signal","official_site","tell_money_official_2026","Official site describes open banking, payment APIs and confirmation of payee tools, with no defensible bio-based, biocentric or planetary-boundary materiality.","0.90"
"falcomm","Falcomm","frontier hardware and infrastructure systems","energy-efficient semiconductor hardware","energy efficient wireless power amplifier semiconductors","semiconductors; RF power amplifiers; wireless communications hardware","legacy-power-amplifiers-to-energy-efficient-semiconductor-hardware","semiconductor hardware product","RF and wireless communication hardware","telecommunications and hardware manufacturing","B2B hardware component","exclude","non_latam_non_bio_semiconductor_hardware_outside_scope","techcrunch_profile","techcrunch_falcomm_2025","TechCrunch profile describes a US fabless semiconductor company making efficient power amplifiers for wireless communications, outside BIO VC LATAM scope.","0.84"
"teramot","Teramot","peripheral or non-core digital ventures","AI agent connectivity infrastructure","connectivity layer for AI agents and business data systems","AI agents; data engineering; business intelligence; enterprise software","fragmented-business-data-to-ai-agent-connectivity","enterprise AI software platform","business and analytics data","cross-sector enterprise software","B2B SaaS","exclude","full_digital_ai_agent_infrastructure_no_materiality_signal","linkedin_company_profile","linkedin_teramot_2026","LinkedIn describes Teramot as a connectivity layer for AI agents and real business systems, not a bio/material/planetary startup.","0.88"
"vmind","VMind","peripheral or non-core digital ventures","AI compute acceleration software","AI acceleration and general AI software","AI acceleration; machine learning; software; AI infrastructure","expensive-ai-compute-to-software-acceleration","AI infrastructure software","AI compute workloads","cross-sector AI infrastructure","B2B software","exclude","full_digital_ai_infrastructure_no_bio_materiality_signal","f6s_profile","f6s_vmind_2026","F6S describes VMind as AI acceleration software that cuts compute cost using numerical algorithms, with no bio/material/planetary signal.","0.82"
"altscore","Altscore","peripheral or non-core digital ventures","embedded finance and credit infrastructure","B2B credit infrastructure for companies","credit APIs; AI credit scoring; KYC/KYB; loan management; collections","manual-credit-programs-to-embedded-lending-infrastructure","fintech infrastructure platform","credit, merchant and SME financial data","B2B credit and embedded finance","B2B fintech SaaS","exclude","full_digital_fintech_no_bio_materiality_signal","official_site_and_company_blog","altscore_official_2026","Official site and company blog describe AltScore as B2B credit infrastructure and lending-as-a-service for Latin America, with no defensible bio/material transition signal.","0.93"
"antarka","Antarka","biobased chemistry and advanced materials","biobased chemistry and materials","extremophile enzyme skin DNA repair ingredients","extremophile enzymes; DNA repair; biomanufacturing; cosmetic actives","synthetic-cosmetic-actives-to-extremophile-bioactive-dna-repair","bioactive cosmetic ingredient platform","Antarctic microorganisms and enzyme actives","skin health, cosmetics and personal care","B2B ingredient biotech","include","external_source_signal_bio_based_extremophile_biotech_latam","sosv_profile_and_startupslatam","antarka_public_profiles_2026","SOSV and Startups Latam describe Antarka as a Uruguayan biotech producing active cosmetic ingredients from Antarctic microorganisms to repair skin DNA damage.","0.88"
"aquit","Aquit","ag biologicals and crop resilience","ag biologicals and animal resilience","fish immunity biotech for sustainable aquaculture","proteomics; fish immune proteins; aquaculture biotech; bioinformatics; AI","antibiotic-dependent-aquaculture-to-immune-activated-fish-health","aquaculture animal-health biotech","salmon immune proteins and pathogen-response data","aquaculture health and animal nutrition","B2B aquaculture biotech","include","external_source_signal_bio_based_aquaculture_animal_health_latam","f6s_profile_and_cbinsights","aquit_public_profiles_2026","F6S and CB Insights describe AQUIT as a Chilean aquaculture biotech developing preventive treatments that enhance fish immunity, improve survival and replace antibiotics.","0.88"
"ardan","Ardan","therapeutics and regenerative medicine","therapeutic and regenerative biology","targeted cancer immunotherapy platform","small-molecule modulators; TMEM176A/B; immuno-oncology; drug discovery","unmet-cancer-immunotherapy-needs-to-targeted-immune-modulation","therapeutic pipeline","TMEM176A/B biology and small-molecule candidates","oncology and immunotherapy","therapeutic biotech company","include","official_website_signal_bio_based_or_biocentric","ardan_pharma_official_site","ardan_pharma_official_2026","Official site describes Ardan Pharma as a biotech with operations in Uruguay and Argentina developing targeted immunotherapy for cancer through TMEM176A/B modulation.","0.92"
"blerify","Blerify","peripheral or non-core digital ventures","digital identity and credential infrastructure","digital identity and verifiable credential infrastructure","verifiable credentials; wallet; cryptography; blockchain; post-quantum security","manual-identity-verification-to-wallet-based-digital-credentials","digital identity infrastructure","identity credentials, signatures and wallet data","digital identity, benefits and credential verification","B2B/B2G identity platform","exclude","full_digital_identity_infrastructure_no_bio_materiality_signal","official_site_and_f6s_profile","blerify_public_profiles_2026","Official site and F6S describe Blerify as digital credential, wallet and identity infrastructure, not a bio/material/planetary startup.","0.90"
