"startup_id","startup_name","startup_summary_v1","business_one_liner","problem_addressed","technical_approach","industry_destination","materiality_signal","thesis_scope_note","source_url","source_type","source_date","evidence_excerpt","summary_confidence","review_status"
"solfium","Solfium","Solfium provides solar energy, storage and e-mobility solutions for homes, companies, industrial clients and corporate value chains, with an explicit model for decarbonization. It is not bio-based, but fits the broader planetary-boundary perimeter as clean-energy deployment infrastructure that can reduce emissions across material supply chains.","Solar, storage and e-mobility deployment platform for value-chain decarbonization.","Homes and companies face fragmented adoption of solar, storage and e-mobility solutions.","Solar deployment, storage, e-mobility solutions and corporate value-chain decarbonization programs.","energy transition, solar, storage and e-mobility","medium","Include as planetary-boundary transition infrastructure, not as biotech.","https://solfium.com/en/","official_website","2026-05-08","Official site describes Solfium as a partner in solar energy, storage and e-mobility, including a corporate model to decarbonize value chains.","high","reviewed"
"alytix","Alytix","Alytix is an Argentine bacteriophage biotechnology company developing prevention and treatment solutions for bacterial infections in animal and human health. Its platform combines phage discovery, metagenomic diagnostics, genomic analysis, bioinformatics and custom phage-cocktail design to address antibiotic resistance and farm-specific pathogens. It belongs inside BIO VC LATAM as phage therapeutics, animal-health biotech and One Health antimicrobial infrastructure.","Bacteriophage therapeutics and prevention platform.","Antibiotic resistance and hard-to-control bacterial infections in animal and human health.","Bacteriophage discovery, metagenomic diagnostics and phage-cocktail design with microbiological, genomic and bioinformatic tools.","Animal and human health","high","Include as a core biological therapeutic and preventive platform based on bacteriophages.","https://alytixbiotech.com/","official_website","2026-05-06","Official site describes bacteriophage-based solutions for infectious diseases in animal and human health, combining microbiological, genomic and bioinformatic tools.","high","reviewed"
"arcomed","Arcomed","Compañia medtech especializada en sistemas de infusion, bombas y soluciones clinicas integradas para hospitales y terapias criticas. Se mantiene adentro como medtech clinico, aunque no como biotech.","Advanced infusion systems and hospital medtech.","Necesidad de infusion mas segura y eficiente en entornos clinicos complejos.","Infusion pumps, digital integration and hospital safety systems.","Hospitals and critical care","medium","Caso medtech confirmado por fuente oficial, con menor señal biotech que otros casos del universo.","https://www.arcomed.com/","official_website","2026-04-22","Official site describes Arcomed as an innovation leader in infusion systems and integrated hospital solutions focused on safety and clinical workflow.","medium","reviewed"
"circa_therapeutics","Circa Therapeutics","Startup therapeutics que desarrolla degradadores de proteinas mediante small molecules para cancer y enfermedades raras, aprovechando el sistema natural de eliminacion proteica de la celula.","Targeted protein degradation therapeutics.","Baja tratabilidad de proteinas asociadas a enfermedades raras y oncologia.","Small-molecule protein degraders and E3 ligase binders for targeted protein degradation.","Oncology and rare diseases","high","Entra por therapeutics con plataforma molecular propia.","https://circatherapeutics.com/","official_website","2026-04-22","Official site describes small-molecule degraders and E3 ligase binders to eliminate disease-causing proteins in rare diseases and oncology.","high","reviewed"
"eolo_pharma","Eolo Pharma","Startup biotech clinica enfocada en obesidad y enfermedad metabolica, con candidatos terapeuticos que activan vias de termogenesis para tratar el balance energetico mas alla de los GLP-1.","Thermogenesis-based obesity therapeutics.","Falta de tratamientos sostenibles para obesidad y enfermedad metabolica.","Novel molecules targeting creatine-dependent thermogenesis and energy expenditure pathways.","Obesity and metabolic disease","high","Entra por therapeutics claramente biomoleculares.","https://eolo-pharma.com/","official_website","2026-04-22","Official site describes Eolo Pharma as a clinical-stage biotech developing obesity and metabolic disease therapies based on thermogenesis and energy expenditure pathways.","high","reviewed"
"galtec","Galtec Life","Galtec Life is an Argentine biotech developing immunotherapies based on galectin modulation for cancer, autoimmune diseases and chronic inflammatory conditions. The semantic anchor is therapeutic immunology: the company designs biological interventions that act on galectin-mediated immune and inflammatory pathways. It belongs inside BIO VC LATAM as a therapeutic biotech platform, not ag intelligence or generic life-science services.","Galectin-modulating immunotherapies for cancer and inflammatory disease.","Cancer, autoimmune and chronic inflammatory diseases require better immune-modulating therapeutic mechanisms.","Galectin modulation and immunotherapy development for oncology, autoimmunity and inflammation.","oncology, autoimmune and inflammatory disease therapeutics","high","Include as core therapeutic biotechnology.","https://galtec.ar/en/home/","official_website","2026-05-08","Official site describes immunotherapies based on galectin modulation for cancer, autoimmune diseases and chronic inflammatory conditions.","high","reviewed"
"glycox","GlycoX","Startup de ingredientes funcionales que convierte compuestos de origen vegetal en cuidado metabolico cotidiano para control glucemico y resiliencia metabolica.","Metabolic health functional ingredient platform.","Alta prevalencia de disfuncion glucemica y necesidad de prevencion metabolica escalable.","Plant-derived functional ingredient development for glycemic control.","Food, nutrition and metabolic health","high","Entra por ingrediente funcional bio-based con aplicacion alimentaria y metabolica.","https://www.glycox.bio/","official_website","2026-04-22","Official site describes a plant-based ingredient for blood-sugar control and metabolic resilience designed for everyday use.","high","reviewed"
"inbioar","Inbioar","Argentine ag-biotech company discovering and developing botanical active ingredients for crop protection and plant stimulation. Its platform combines plant extract libraries, field collection, greenhouse trials and active-compound identification to create herbicide, antifungal, insecticide and biostimulant products of natural origin. It belongs inside BIO VC LATAM as core ag biologicals and botanical crop-resilience technology replacing synthetic crop-protection inputs.","Botanical crop-protection ingredient discovery platform.","Need for crop-protection products with new modes of action, lower residues and biological origin.","Plant extract libraries, field collection, greenhouse trials and active-compound identification for crop protection.","Agroindustry, crop protection and plant stimulation","high","Core include: botanical active ingredients and biological crop-protection platform.","https://inbioar.com/","official_website","2026-05-06","Official site describes discovery and development of botanical active ingredients for herbicide, antifungal, insecticide and stimulant uses in crop protection.","high","reviewed"
"keclon","Keclon","Empresa biotech integrada que usa precision fermentation y microorganismos para desarrollar enzimas industriales, bioactivos y alternativas proteicas mas sustentables.","Precision fermentation biosolutions platform.","Procesos industriales costosos, contaminantes y poco eficientes en alimentos, biofuels y otras industrias.","Precision fermentation of microorganisms for enzymes, bioactives and alternative proteins.","Food, feed, biofuels, beauty and care","high","Entra por biomanufacturing y bioindustry.","https://keclon.com/","official_website","2026-04-22","Official site describes a fully integrated biotech company using precision fermentation and microorganisms to produce enzymes, bioactives and alternative proteins.","high","reviewed"
"kigui","Kigüi","Plataforma de IA para retail que detecta expiraciones, faltantes y ejecucion promocional para reducir mermas y mejorar rotacion en alimentos y consumo masivo. Se mantiene adentro como caso borde de eficiencia material y desperdicio.","AI copilot for retail waste and rotation management.","Perdida de ventas y desperdicio por vencimientos, quiebres de stock y mala ejecucion en retail.","AI-powered expiry tracking, task prioritization and in-store validation using sales and shelf data.","Retail food and CPG operations","medium","Caso borde que se mantiene por su impacto material sobre desperdicio y rotacion de alimentos, no por software horizontal generalista.","https://kigui.io/en/","official_website","2026-04-22","Official site describes AI for expiry-based stock accuracy, task prioritization and promotion execution to reduce losses in retail operations.","medium","reviewed"
"laurus_ag_tech","Laurus AG Tech","Laurus AG Tech is an urban-farming startup building decentralized autonomous farms that produce fresh vegetables close to consumers. Its public profile describes low-CAPEX, low-OPEX systems deployed in unused city spaces to reduce logistics, increase access to affordable fresh produce and improve resource efficiency. It belongs inside BIO VC LATAM as controlled-environment food-production infrastructure, though it is an edge case rather than biotech.","Autonomous urban farming network.","Fresh vegetables are often produced far from cities, increasing logistics cost, freshness loss and environmental footprint.","Decentralized autonomous farms, controlled-environment production and low-cost urban deployment in unused spaces.","Urban food production and fresh vegetables","medium","Include as material food-production infrastructure with biocentric living-crop systems; edge because the mechanism is farming infrastructure, not biotech.","https://www.f6s.com/company/laurusagtech","external_profile","2026-05-06","F6S profile describes autonomous urban farms producing affordable fresh vegetables in decentralized city spaces with lower capital and operating costs.","medium","reviewed"
"microgenesis","Microgenesis","Startup de fertility diagnostics que combina evaluacion inflamatoria, edad reproductiva biologica y planes personalizados para acompanamiento de fertilidad y fallos de FIV.","Fertility diagnostics and reproductive age assessment.","Baja capacidad de entender edad reproductiva e inflamacion asociada a fertilidad y fallos de FIV.","Inflammatory profiling, reproductive age scoring and personalized recommendations.","Fertility and reproductive health","high","Entra por diagnostics clinicos en salud reproductiva.","https://www.microgenesis.net/","official_website","2026-04-22","Official site describes fertility support tools including reproductive age testing, inflammatory profiling and personalized interpretation for IVF-related decisions.","high","reviewed"
"monte_caldera","Monte Caldera Technology","Startup de descubrimiento de materiales que usa fisica avanzada y modelado molecular para acelerar I+D en quimica, energia, semiconductores y biotech con foco en materiales mas sustentables.","Advanced-physics materials discovery platform.","Lentitud y costo del descubrimiento de materiales para quimica, energia y biotech.","Advanced physics molecular modeling and NESCGLE-based materials discovery workflows.","Energy, chemicals, semiconductors and biotech","medium","Caso borde deeptech que se mantiene por su acople a materiales y sostenibilidad industrial.","https://montecaldera.com/","official_website","2026-04-22","Official site describes advanced-physics molecular modeling to accelerate materials discovery for energy, chemicals, semiconductors and biotech with sustainability applications.","medium","reviewed"
"mzp","MZP","MZP is a medtech diagnostics startup developing advanced coagulation testing for bleeding management in trauma, surgery, organ transplants and critical care. Its public profile points to point-of-care coagulation analysis and viscoelastic diagnostics that can help clinicians understand clotting defects and reduce unnecessary transfusions. It belongs inside BIO VC LATAM as clinical diagnostics infrastructure.","Advanced coagulation diagnostics for critical care.","Critical-care teams need faster, more precise coagulation assessment to manage bleeding and avoid unnecessary transfusions.","Point-of-care coagulation analysis and viscoelastic diagnostics for bleeding-risk management.","Critical care, surgery and transfusion medicine","medium","Include as clinical diagnostics with direct biological and hospital materiality; evidence is profile-level but specific enough for reviewed status.","https://www.f6s.com/company/mzp","external_profile","2026-05-06","F6S profile describes advanced coagulation diagnostics for bleeding management in trauma, surgery, organ transplants and critical care.","medium","reviewed"
"nanotransfer","Nanotransfer","Startup de nanobiotech que desarrolla sistemas no virales de entrega genetica para terapias genicas y edicion, basados en nanoparticulas de oxidos metalicos.","Non-viral gene delivery platform.","Limitaciones de vehiculos actuales para terapias genicas seguras, eficientes y accesibles.","Metal-oxide nanoparticle delivery systems for in-vitro, ex-vivo and in-vivo gene therapy.","Gene therapy and genetic disease","high","Entra por plataforma terapeutica de delivery genetico.","https://nanotransfer.bio/","official_website","2026-04-22","Official site describes a non-viral nanoparticle delivery library for gene therapies and gene-editing payloads.","high","reviewed"
"naturannova","Naturannova","Startup foodtech que usa IA, bioinformatica y microorganismos para descubrir y producir ingredientes proteicos naturales y sustentables, incluyendo proteinas dulces.","AI and bioinformatics for sustainable protein ingredients.","Necesidad de ingredientes proteicos mas saludables, clean label y sustentables.","AI, bioinformatics, lab validation and microbial production of novel protein ingredients.","Food ingredients and protein innovation","high","Entra por food biotech y biology factories.","https://naturannova.com/","official_website","2026-04-22","Official site describes AI, bioinformatics, experimental validation and microorganism-based production of novel plant-protein ingredients such as sweet proteins.","high","reviewed"
"neocell","Neocell","Empresa biotech enfocada en desarrollo, transferencia y manufactura de biosimilares y biologicos, desde clones y procesos hasta lotes preclinicos y clinicos.","Biopharma development and biosimilar platform.","Altos costos y complejidad en desarrollo y manufactura de biosimilares y biologicos.","Cell line, process development, formulation and analytical development for biosimilars.","Biopharma and biologics manufacturing","medium","Entra por biomanufacturing y desarrollo biologico, no por software.","https://neocellbiotech.com/","official_website","2026-04-22","Official site describes end-to-end development, tech transfer and manufacturing support for biologics and biosimilars including clone selection and process development.","medium","reviewed"
"nunatak_biotech","Nunatak Biotech","Nunatak Biotech designs plant-microorganism associations to restore soils and improve crop performance in adverse environments. Its official evidence points to plant-microbiome symbiosis, soil regeneration and biological crop resilience, making it a core ag-biologicals company. It belongs inside BIO VC LATAM as microbial / plant-microbiome infrastructure for regenerative agriculture.","Plant-microbiome platform for soil restoration and crop resilience.","Degraded soils and adverse growing conditions reduce crop performance and agricultural resilience.","Design of plant-microorganism associations and microbiome-based crop resilience systems.","crop production, soil restoration and regenerative agriculture","high","Include as core ag biologicals / soil regeneration technology.","https://www.nunatakbio.com/","official_website","2026-05-08","Official site describes plant-microbiome symbiosis design to restore soils and improve plant performance under adverse conditions.","high","reviewed"
"onco_precision","Onco Precision","Startup de anticuerpos terapeuticos que integra high-throughput biology y AI/ML para descubrir programas oncologicos con datos derivados de pacientes desde etapas tempranas.","Patient-centric oncology antibody discovery platform.","Baja traslacion clinica de la oncologia cuando los pacientes se integran tarde al descubrimiento.","High-throughput biology and AI/ML for patient-derived oncology antibody discovery.","Oncology therapeutics","high","Entra por therapeutics con fuerte componente computational pero outcome terapeutico claro.","https://www.oncoprecision.bio/","official_website","2026-04-22","Official site describes a platform therapeutics company using high-throughput biology and AI/ML to discover oncology antibody programs with patient-derived data.","high","reviewed"
"plamic_biotech","Plamic Biotech","PLAMIC Biotech is an Argentine microfluidics startup developing lab-on-a-chip technology for nanomedicine formulation and personalized oncology treatment selection. Public sources describe microchannel chips that improve precision, reproducibility and scalability in nanomedicine production, plus predictive treatment testing from biopsy samples. It belongs inside BIO VC LATAM as microfluidic health-tech infrastructure for cancer therapeutics and personalized medicine.","Microfluidic lab-on-a-chip cancer platform.","Nanomedicine formulation and oncology treatment selection need more reproducible, scalable and patient-specific experimental platforms.","Microfluidic chip design, laminar-flow microchannels, nanomedicine synthesis and predictive treatment testing from biopsy samples.","Cancer therapeutics, nanomedicine and personalized medicine","high","Include as microfluidics / medtech platform directly attached to oncology and nanomedicine workflows.","https://www.argentina.gob.ar/noticias/se-conocieron-los-ganadores-del-concurso-innova-salud","official_public_profile","2026-05-06","Argentina.gob.ar describes PLAMIC as a microfluidic lab-on-a-chip platform for oncology nanomedicine synthesis and predictive treatment selection from patient biopsies; LinkedIn describes microfluidics for nanomedicine production.","high","reviewed"
"scitherm_therapeutics","Scitherm Therapeutics","Startup therapeutics que desarrolla candidatos contra obesidad y enfermedades metabolicas a partir de termogenicos diseñados in silico para degradacion lipidica.","Thermogenic obesity therapeutics.","Falta de terapias especificas para obesidad y acumulacion lipidica con menos efectos secundarios.","In-silico design and in-vitro validation of thermogenic candidates targeting fat degradation pathways.","Obesity and metabolic disease","high","Entra por therapeutics metabolicos.","https://scitherm.bio/","official_website","2026-04-22","Official site describes in-silico-designed thermogenic therapeutic candidates for obesity and related metabolic diseases.","high","reviewed"
"spherebio","SphereBio","Startup de vacunas y terapias personalizadas que combina nanotechnology, AI y synthetic biology para entrenar celulas contra cancer y autoinmunidad.","Personalized cancer vaccine and therapeutic platform.","Necesidad de terapias mas precisas y personalizadas para cancer y enfermedades autoinmunes.","Nanotechnology, synthetic biology and bioinformatics for personalized cell-training therapeutics.","Cancer and autoimmune disease","high","Entra por therapeutics personalizadas.","https://www.spherebio.co/","official_website","2026-04-22","Official site describes a platform combining nanotechnology, AI and synthetic biology to create personalized vaccines and therapeutics for cancer and autoimmune diseases.","high","reviewed"
"huiro","Huiro","Startup chilena que desarrolla un modelo colaborativo de cultivo regenerativo de algas para restaurar ecosistemas marinos, capturar carbono y activar economias costeras circulares. Entra en tesis por su intervencion directa sobre sistemas vivos y regeneracion de limites planetarios.","Regenerative seaweed cultivation for marine restoration and coastal livelihoods.","Degradacion de ecosistemas marinos costeros y falta de modelos productivos regenerativos para comunidades costeras.","Cultivo regenerativo de algas y articulacion colaborativa con comunidades costeras.","Marine ecosystems, coastal communities and blue bioeconomy","high","Entra por regeneracion ecosistemica, biomasa marina y restauracion ambiental con base biologica.","https://www.huiroregenerativo.com/en","official_website","2026-04-22","Official site describes regenerative seaweed farming to restore marine ecosystems, capture carbon and create sustainable economic opportunities for coastal communities.","high","reviewed"
"branch_energy","Branch Energy","Branch Energy deploys clean-energy and energy-management infrastructure, including on-site batteries and data analytics, to reduce customer energy costs, increase resilience and lower carbon emissions. It is not biotech, but it fits the broader planetary-boundary perimeter as emissions-reduction and resilience infrastructure for material systems. It should cluster with climate and resource intelligence rather than biofactories or medical devices.","On-site batteries and clean-energy management platform.","Energy users face high costs, grid fragility and carbon-intensive electricity consumption.","On-site batteries, clean-energy infrastructure and analytics for cost, resilience and emissions reduction.","commercial, industrial and energy-transition customers","medium","Include as planetary-boundary transition infrastructure, not as bio-based technology.","https://www.linkedin.com/company/branch-energy","official_public_profile","2026-05-08","LinkedIn company profile states that Branch Energy helps customers reduce energy costs while increasing resilience by deploying on-site batteries and other energy infrastructure.","high","reviewed"
"radbio","Radbio","Radbio is a biotechnology company developing biologic therapeutics that target TGF-beta biology for fibrosis, complex chronic disease and cancer indications. Its official evidence centers on a novel biomolecule and therapeutic platform rather than diagnostics, agriculture or materials. It belongs inside BIO VC LATAM as a core biologic-drug-development company working on frontier biomedicine.","TGF-beta biologic therapeutics for fibrosis and cancer.","Fibrosis, cancer and complex chronic diseases need new targeted biological mechanisms beyond conventional small-molecule treatment.","Biologic drug development focused on TGF-beta pathway modulation and novel biomolecule design.","fibrosis, oncology and complex chronic disease therapeutics","high","Include as therapeutic biotechnology.","https://radbiopharm.com/","official_website","2026-05-08","Official site describes a biotech company developing a novel biomolecule targeting TGF-beta for fibrosis and cancer indications.","high","reviewed"
"syocin_bio","Syocin Biotech","Startup ag biotech que desarrolla biobactericidas proteicos de alta precision para proteger cultivos frente a fitopatogenos bacterianos sin afectar microbiomas beneficiosos. Entra en tesis por su uso de biologia sintetica aplicada a resiliencia agricola.","Precision protein biobactericides for crop protection.","Enfermedades bacterianas en cultivos y dependencia de soluciones menos precisas o mas toxicas.","Plataforma de biologia sintetica para disenar y producir proteinas bactericidas especificas.","Crop protection and sustainable agriculture","high","Entra por biologia aplicada a sistemas vivos agricolas y salud del suelo.","https://syocin.com/","official_website","2026-04-22","Official site describes protein-based biobactericides and a synthetic biology platform to fight bacterial plant diseases while preserving microbiomes and soil health.","high","reviewed"
"ocular_bio_design","Ocular Bio Design","Spin-off bioingenieril enfocada en producir tejido corneal funcional, biosintetico y trasplantable para restaurar vision y reducir costos de trasplante. Entra en tesis por ingenieria de tejidos y medicina regenerativa.","Bioengineered corneal tissue for vision restoration.","Escasez de tejido corneal para trasplantes y altos costos de restauracion visual.","Ingenieria de tejidos para cultivar y producir tejido corneal funcional y biocompatible.","Regenerative medicine and ophthalmology","high","Entra por ingenieria de tejidos y medicina regenerativa aplicada.","https://conecta.tec.mx/en/news/national/entrepreneurs/how-tec-community-develops-solutions-social-purpose-and-science","official_public_profile","2026-04-22","Tecnologico de Monterrey describes Ocular Bio Design as a tissue engineering spin-off creating functional, biosynthetic and biocompatible corneal tissue to restore vision.","high","reviewed"
"pregen","PreGen","Startup argentina que desarrolla tests genomicos accesibles para pronosticar agresividad del cancer desde la biopsia inicial usando IA y tecnologia PCR disponible en laboratorios locales. Entra en tesis por precision oncology y diagnostico molecular.","Affordable genomic cancer prognosis tests.","Falta de pronosticos oncologicos precisos y accesibles en laboratorios locales.","Test genomico con IA y PCR para pronostico de cancer.","Precision oncology and molecular diagnostics","high","Entra por diagnostico molecular y medicina de precision.","https://www.linkedin.com/posts/grid-exponential_gridx-activity-7381742354665381888-Gp0R","official_public_profile","2026-04-22","GRIDX describes PreGen as an accessible genomic test that predicts prostate cancer aggressiveness from the initial biopsy using AI trained on more than 5,000 tumors.","high","reviewed"
"abastra","AbAstra","Empresa de desarrollo de software a medida para clientes corporativos de multiples industrias. Queda fuera de tesis por no mostrar una propuesta bio-based, biocentrica ni regenerativa propia.","Custom software development services company.","Necesidades generales de desarrollo de software y sistemas empresariales.","Servicios de diseno y desarrollo de software para terceros.","General software services","low","Sale de tesis por ser una software house generalista sin acople material o biocentrico propio.","https://www.abastra.com/","official_website","2026-04-22","Official site presents Abastra as a software design and development company serving multiple industries with custom technological solutions.","high","reviewed"
"eureka","Eureka","Operador o venture studio de comercio digital y servicios transfronterizos. Queda fuera de tesis porque la evidencia publica apunta a ecommerce, brand development, adquisiciones y servicios tecnologicos, sin materialidad bio o planetaria defendible.","Cross-border digital commerce and services venture.","Necesidades de crecimiento, operacion y automatizacion de negocios digitales o de servicios.","Ecommerce operations, brand development, digital strategy and technology services.","Ecommerce and digital services","low","Sale por ser una capa digital/servicios sin acople directo a sistemas vivos, cadenas biobasadas o limites planetarios.","https://eurekamomentsfactory.com/","public_website","2026-04-23","Public site describes a cross-border innovation and brand development company that builds, operates and scales digital-first businesses across North America and Latin America.","medium","reviewed"
"muta","MUTA","Startup colombiana de economia circular que conecta generadores, recolectores y procesadores de materiales reciclables mediante una plataforma B2B con trazabilidad y coordinacion operacional. Entra por su rol directo en recuperacion de materiales y limites planetarios.","B2B circular recycling and traceability platform.","Fragmentacion, informalidad y baja trazabilidad en cadenas de reciclaje y recuperacion de materiales.","Plataforma end-to-end para orquestar reciclaje, trazabilidad, datos y coordinacion entre generadores, recolectores y procesadores.","Recycling, circular economy and material recovery","high","Entra por infraestructura material de economia circular y recuperacion de recursos, no por software horizontal.","https://www.f6s.com/company/muta-world","external_profile","2026-04-23","F6S describes MUTA as an all-in-one B2B circular economy platform connecting generators with processors and orchestrating the recycling supply chain with traceability and data.","medium","reviewed"
"nude","Nude","Foodtech brasilena que desarrolla bebidas y alimentos plant-based a base de avena, con foco en menor impacto ambiental y transparencia de huella de carbono. Entra por transicion alimentaria biobasada y sustitucion parcial de productos lacteos animales.","Oat-based plant dairy and climate-transparent food brand.","Dependencia de alimentos lacteos animales de mayor impacto y baja transparencia climatica en consumo masivo.","Formulacion de alimentos vegetales de avena, medicion de huella de carbono y desarrollo de productos plant-based.","Plant-based dairy alternatives and food retail","high","Entra como foodtech biobasada de transicion alimentaria y baja huella, aunque es mas consumer brand que plataforma biotech profunda.","https://heynude.com.br/","official_website","2026-04-23","Official site describes Nude as a Brazilian oat-based foodtech making plant-based dairy alternatives with low impact, B Corp certification and carbon footprint transparency.","high","reviewed"
"oneinfinite","OneInfinite","Plataforma de orquestacion de pagos y checkout global con liquidacion en USDT para negocios digitales. Queda fuera de tesis por ser fintech/payment infrastructure sin materialidad bio, biobased ni regenerativa.","Cross-border payments orchestration platform.","Friccion de cobros internacionales, metodos de pago locales y liquidacion para negocios digitales.","Checkout, links de pago, integraciones ecommerce, pagos locales y settlement en USDT.","Fintech and digital commerce payments","low","Sale por ser infraestructura financiera digital generalista, sin acople especifico a sistemas bio/materiales.","https://www.oneinfinite.la/en","official_website","2026-04-23","Official site describes ONE as a payment orchestration platform for digital businesses, with checkout, payment links, local payment methods and USDT settlement.","high","reviewed"
"radial","Radial","Radial transforms organic residues into fungal materials for lower-impact material applications. The semantic anchor is simple and strong: fungal biology, waste valorization and biomaterial production. It belongs inside BIO VC LATAM as a biobased materials startup, not as circularity software or generic resource recovery.","Fungal biomaterials made from residues.","Material production depends on extractive feedstocks while organic residues remain underused.","Fungal growth and residue transformation into usable biomaterial formats.","biomaterials, packaging, design and low-impact materials","high","Include as core biobased material and residue valorization.","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-05-08","GRIDX portfolio says Radial transforms residues into fungal materials.","high","reviewed"
"retrypay","Retrypay","Plataforma mexicana de orquestacion de pagos para ecommerce que mejora aceptacion y ruteo de transacciones entre procesadores. Queda fuera por fintech/payment infrastructure sin materialidad bio o planetaria propia.","Payment orchestration for ecommerce.","Rechazos de pagos, integracion fragmentada de procesadores y baja conversion en ecommerce.","API de payment orchestration, routing inteligente, multiples pasarelas y metodos de pago.","Fintech and ecommerce payments","low","Sale por ser fintech B2B generalista, no una startup BIO VC LATAM.","https://www.f6s.com/retrypay","external_profile","2026-04-23","F6S describes RetryPay as a payment options platform for ecommerce with multiple gateways, aggregators and acquirers to increase payment acceptance without increasing fraud.","medium","reviewed"
"sensei","Sensei","Plataforma de retail autonomo que usa computer vision, AI y sensores para tiendas sin checkout y analitica operacional. Queda fuera porque es automatizacion retail, no una solucion bio/material/regenerativa.","Autonomous retail computer vision platform.","Filas, checkout manual, merma y baja visibilidad operacional en tiendas fisicas.","Computer vision, AI, sensores, basket tracking y analitica de tienda en tiempo real.","Retail stores and supermarkets","low","Sale por ser tecnologia retail horizontal; aunque toque supermercados, no transforma sistemas bio/materiales por si misma.","https://www.sensei.tech/","official_website","2026-04-23","Official site describes Sensei as autonomous retail technology using computer vision and AI for checkout-free stores, shelf inventory visibility and retail automation.","high","reviewed"
"wisy","Wisy","Plataforma enterprise de AI para ejecucion retail y CPG, con vision computacional para auditar gondolas, planogramas, inventario y recomendaciones comerciales. Queda fuera por ser retail SaaS/CPG intelligence sin materialidad bio propia.","AI retail execution and shelf intelligence platform.","Baja visibilidad de inventario, ejecucion comercial y cumplimiento de planogramas en retail.","Computer vision, offline AI, shelf image recognition, demand forecasting and replenishment recommendations.","Consumer goods brands and retail execution","low","Sale por ser software de ejecucion retail para CPG, no una startup bio/material aunque pueda operar sobre categorias de alimentos.","https://wisy.ai/home/","official_website","2026-04-23","Official site describes Wisy as an enterprise AI co-pilot for retail execution that automates shelf data collection and provides real-time recommendations for CPG brands and retailers.","high","reviewed"
"altscore","Altscore","Infraestructura fintech B2B para que empresas lancen y operen productos de credito digital. Queda fuera de tesis por ser lending-as-a-service y scoring financiero sin materialidad bio, biobased ni regenerativa.","B2B credit infrastructure for companies.","Acceso, operacion y escalamiento de programas de credito para clientes B2B y PyMEs.","APIs de credito, AI scoring, KYC/KYB, loan management y collections.","B2B credit and embedded finance","low","Sale por fintech digital generalista, aunque tenga clientes de consumo masivo.","https://www.altscore.ai/","official_website","2026-04-23","Official site describes AltScore as B2B credit infrastructure to launch, operate and scale credit programs.","high","reviewed"
"antarka","Antarka","Uruguayan biotech developing cosmetic active ingredients from Antarctic extremophile enzymes that repair UV-induced DNA damage in skin cells. Its photolyase-based technology targets CPD and related DNA lesions, penetrates skin cells, reaches the nucleus and is validated through ex vivo and clinical studies. It belongs inside BIO VC LATAM as extremophile enzyme biotech, bioactive ingredient biomanufacturing and skin-health molecular repair.","Extremophile enzyme skin DNA repair ingredients.","UV-induced DNA damage, photo-aging and lack of active ingredients that repair damage at the cellular origin.","Antarctic photolyase enzymes, skin-cell penetration, nuclear localization and DNA lesion repair.","Skin health, dermocosmetics, bioactive ingredients and personal care","high","Core include: enzyme biotechnology from Antarctic microorganisms for molecular DNA repair, even though the market is cosmetics/wellness.","https://www.antarka.bio/our-science","official_website","2026-05-06","Antarka says its Antarctic enzyme repairs UV-induced DNA damage at the cellular level, shows nuclear ingress, 100 percent CPD DNA repair and clinical skin-firmness and elasticity improvements.","high","reviewed"
"aquit","Aquit","Biotech chilena de acuicultura que desarrolla tratamientos preventivos para activar la inmunidad de peces, mejorar supervivencia y reemplazar antibioticos. Entra por animal health, proteinas biologicas y transicion material de acuicultura.","Fish immunity biotech for sustainable aquaculture.","Uso de antibioticos, enfermedades infecciosas y mortalidad en salmonicultura y acuicultura.","Identificacion y produccion de proteinas inmunoactivadoras, proteomica, bioinformatica y desarrollo de productos para salud animal acuicola.","Aquaculture health and animal nutrition","high","Entra claramente por animal biotech aplicada a sistemas vivos productivos y reduccion de antibioticos.","https://www.f6s.com/company/aquit","external_profile","2026-04-23","F6S describes AQUIT as developing technology that enhances fish immunity, improves survival rates and replaces antibiotics in aquaculture.","high","reviewed"
"ardan","Ardan","Biotech terapeutica con operaciones en Uruguay y Argentina que desarrolla inmunoterapia oncologica dirigida a TMEM176A/B. Entra por drug discovery e inmuno-oncologia.","Targeted cancer immunotherapy platform.","Necesidad de nuevas terapias para cancer y resistencia a estandares oncologicos actuales.","Moduladores small-molecule de TMEM176A/B para reprogramar respuestas inmunes antitumorales.","Oncology and immunotherapy","high","Entra por therapeutics biologicamente dirigidas e inmunoterapia.","https://ardan-pharma.com/","official_website","2026-04-23","Official site describes Ardan Pharma as developing a first-in-class targeted immunotherapy based on small-molecule modulators of TMEM176A/B.","high","reviewed"
