"fund_name","home_country","actor_type","latam_activity_level","geographic_focus","stage_focus","sector_focus","relevance","priority_tier","website_url","source_url","source_type","validation_status","notes"
"Mindset Ventures","Brazil","VC fund","recurrent LatAm focus","Latin America","seed to Series B","B2B technology","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Brazil/US/Israel B2B tech."
"Minga Ventures","Chile","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Early-stage founder support fund."
"MrPink Venture Capital","Argentina","VC fund","recurrent LatAm focus","Latin America","seed","technology-based startups","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Seed in Colombia, Argentina, Peru, Uruguay and Chile."
"Nascent VC","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","fintech; proptech; commerce","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Early-stage LatAm opportunities in operational-expertise sectors."
"Norte Ventures","Brazil","investment club / VC-style","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Founder-driven investment club."
"Propel Venture Partners","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","seed; Series A","fintech; access; financial services","Low","2","","https://www.capboard.io/es/investors/ar?page=1","directory/report","source-listed","Fintech/access investor with LatAm exposure."
"Prosus Ventures","Netherlands / South Africa / Global","global VC/growth active in LatAm","recurrent/selective LatAm activity","LatAm + global","growth","consumer internet; fintech; edtech; food delivery","Low","2","","https://www.lavca.org/members/","directory/report","source-listed","Global emerging markets tech investor."
"Quartzo Capital","Brazil","VC fund","recurrent LatAm focus","Latin America","Series A; growth","sector-agnostic","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Listed by Leaders League 2026."
"Rali_cap","United States / LatAm","VC fund","recurrent/selective LatAm activity","LatAm + global","pre-seed; seed","fintech; B2B SaaS; LatAm","Low","2","","https://www.lavca.org/members/","directory/report","source-listed","LatAm-relevant early-stage fund."
"Redwood Ventures","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic; tech-based","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Early-stage technology startups."
"Scale-Up Ventures / Endeavor Brasil","Brazil","co-investment VC fund","recurrent LatAm focus","Latin America","early-stage; growth","high-growth companies","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Passive co-investment in Endeavor-supported companies."
"Semilla Ventures","Mexico","VC fund","recurrent LatAm focus","Latin America","pre-seed","sector-agnostic; digitalization","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Pre-seed fund with technical founder preference."
"Shima Capital","Puerto Rico","VC fund","recurrent LatAm focus","Latin America","early-stage","web3; blockchain","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america","directory/report","source-listed","Early-stage web3/blockchain VC."
"Soma Capital","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","seed","software; fintech; SaaS","Low","2","","https://www.lavca.org/members/","directory/report","source-listed","Seed investor with LatAm exposure."
"Susa Ventures","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","seed","software; fintech; logistics; marketplaces","Low","2","","https://www.lavca.org/members/","directory/report","source-listed","US seed fund with LatAm deals."
"Tantauco Ventures","Chile","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed; Series A","fintech; SaaS; marketplaces","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Connects Southern Cone with Mexico/US."
"Tiger Global Management","United States","global growth investor active in LatAm","recurrent/selective LatAm activity","LatAm + global","growth; late-stage","sector-agnostic; tech","Low","2","","https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026","directory/report","source-listed","Selective LatAm growth investor."
"Upload Ventures","Brazil","VC/growth fund","recurrent LatAm focus","Latin America","Series A+; growth","sector-agnostic; tech","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Listed by Leaders League 2026."
"Valuaty","Colombia","VC / early-stage investment firm","recurrent LatAm focus","Latin America","early-stage","tech startups","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Mentorship, training and venture capital in LatAm."
"Ventiur","Brazil","accelerator / VC","recurrent LatAm focus","Latin America","early-stage","sector-agnostic; CVC programs","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Accelerator/VC with corporate venture programs."
"Vertical Partners","Colombia","VC fund","recurrent LatAm focus","Latin America","early-stage","fintech; AI; e-commerce; retail tech; mobility; logistics","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Independent VC in Medellín."
"View Capital","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","real estate technology","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","LatAm-focused real estate technology VC."
"Village Global","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","pre-seed; seed","sector-agnostic","Low","2","","https://www.lavca.org/members/","directory/report","source-listed","Network-driven seed investor with LatAm activity."
"Volpe Capital","Brazil","growth VC fund","recurrent LatAm focus","Latin America","Series B+","sector-agnostic; tech","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League 2026 Series B+ recommended."
"Vulcano","Chile","VC fund","recurrent LatAm focus","Latin America","scale-up","sector-agnostic; internationalization","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Scaling and internationalization for dynamic startups."
"0bs","Mexico","angel group","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Founder and ecosystem leader group."
"593 Capital Partners","Ecuador","VC / investment firm","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","","directory/report","needs manual verification","Needs validation."
"Accel","United States / Global","global VC with LatAm deals","recurrent/selective LatAm activity","LatAm + global","early to growth","sector-agnostic; tech","Low","3","","https://www.lavca.org/members/","directory/report","source-listed","Selective LatAm activity."
"AceleraLatam","Chile","accelerator / VC","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Accelerator and VC focused on early-stage performance."
"Aleph","Uruguay / Argentina","VC / fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic; tech","Low","3","","https://www.anii.org.uy/emprendimientos/fondos-de-capital-riesgo/","directory/report","source-listed","Included in ANII-supported VC context; needs validation."
"Amador Holdings","Panama","investment firm / VC","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","","directory/report","needs manual verification","Panama investment firm active in startups; needs validation."
"Angel Hub Ventures","Mexico","angel club / platform","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Active Mexican angel investor club."
"Barn Investments","Brazil","VC/growth fund","recurrent LatAm focus","Latin America","Series A","sector-agnostic","Low","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League notable practices Series A."
"Barrilete Ventures","Central America","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","","directory/report","needs manual verification","Central America VC; needs validation."
"Big Bets","Brazil","VC fund","recurrent LatAm focus","Latin America","seed; early-stage","sector-agnostic","Low","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League highly recommended seed/early stage."
"BluStone","Brazil","VC/growth fund","recurrent LatAm focus","Latin America","early-stage; growth","sector-agnostic","Low","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League 2026 listed."
"Bond","Brazil / US?","growth VC fund","recurrent LatAm focus","Latin America","Series B+","sector-agnostic; tech","Low","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League 2026 Series B+ recommended."
"Bridge One","Brazil","VC/growth fund","recurrent LatAm focus","Latin America","Series B+","sector-agnostic","Low","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League 2026 Series B+ valuable practice."
"Cacao Ventures","Central America","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","","directory/report","needs manual verification","Central America VC; needs validation."
"Caricaco Ventures","Costa Rica","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic; Central America","Low","3","","","directory/report","needs manual verification","Central America VC; needs validation."
"Carmenta Labs","Colombia","venture studio / investor","recurrent LatAm focus","Latin America","early-stage","technology; corporate innovation","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Investment + development + network for startups/intrapreneurs."
"Catapult","Uruguay","VC fund / accelerator","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.anii.org.uy/emprendimientos/fondos-de-capital-riesgo/","directory/report","source-listed","ANII-supported risk capital fund; needs row-level details."
"Chile Global Angels","Chile","angel network","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","ChileGlobal Ventures angel network."
"Chromo Invest","Brazil","VC/growth fund","recurrent LatAm focus","Latin America","Series A","sector-agnostic","Low","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League notable practices Series A."
"C-Labs","Mexico","corporate VC / venture arm","recurrent LatAm focus","Latin America","early-stage","data industry","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Regional data-industry venture arm."
"Cloud9 Capital","Brazil","VC fund","recurrent LatAm focus","Latin America","Series A","sector-agnostic","Low","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Listed by Leaders League 2026 Series A."
"Coatue","United States","global growth investor active in LatAm","recurrent/selective LatAm activity","LatAm + global","growth","technology; software; fintech","Low","3","","https://www.lavca.org/members/","directory/report","source-listed","Selective LatAm growth investor."
"COREangels Pacific","Chile","angel fund / VC-style","recurrent LatAm focus","Latin America","early-stage","technology startups; Ring of Fire Pacific","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Entrepreneur-backed angel fund for LatAm/Asia Pacific."
"Dadneo","Chile","angel network","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Chilean angel network."
"Draper Startup House","Argentina / Global","accelerator / fund","recurrent LatAm focus","Latin America","pre-seed; seed","sector-agnostic","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Global network with fund investing pre-seed/seed."
"DSK Capital","Brazil","VC fund","recurrent LatAm focus","Latin America","seed; early-stage","sector-agnostic","Low","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League 2026 listed."
"DST Global","Global","global growth investor active in LatAm","recurrent/selective LatAm activity","LatAm + global","growth; late-stage","internet; fintech; consumer","Low","3","","https://www.lavca.org/members/","directory/report","source-listed","Selective LatAm growth investor."
"Eqwow Ventures","Brazil","beginning manager / VC","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","ABVCAP beginning managing associate."
"Escala VC","Peru","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.openvc.app/country/Peru","directory/report","source-listed","Peru/LatAm early-stage investor; needs validation."
"Futurum Capital","Brazil","VC/growth fund","recurrent LatAm focus","Latin America","early/growth","sector-agnostic","Low","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","ABVCAP member."
"GAIN","Mexico","angel network / VC-style vehicle","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Guadalajara Angel Investor Network."
"Grão VC","Brazil","VC fund","recurrent LatAm focus","Latin America","seed; early-stage","sector-agnostic","Low","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League excellent seed/early-stage."
"Grupo Guayacán","Puerto Rico","entrepreneurship platform / investor","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","","directory/report","needs manual verification","Puerto Rico entrepreneurship/investor network."
"Incutex","Argentina","accelerator / VC","recurrent LatAm focus","Latin America","early-stage","digital tech; sector-agnostic","Low","3","","","directory/report","needs manual verification","Córdoba-based startup accelerator/investor; needs current validation."
"Inventus Capital","United States / India","global VC with selective LatAm deals","recurrent/selective LatAm activity","LatAm + global","seed; Series A","software; fintech; B2B","Low","3","","","directory/report","needs manual verification","Selective LatAm deals; not LatAm-dedicated."
"Kruger Ventures / Kruger Labs","Ecuador","venture builder / investor","recurrent LatAm focus","Latin America","early-stage","technology; corporate innovation","Low","3","","","directory/report","needs manual verification","Needs validation."
"LarrainVial Asset Management","Chile","asset manager / VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Launched fund to support entrepreneurial ecosystem."
"Life Is Too Short Capital","Mexico","angel club / micro-VC","recurrent LatAm focus","Latin America","early-stage","edtech; sector-agnostic history","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Angel investor club focused on edtech LatAm."
"M43","Mexico","media-for-equity fund","recurrent LatAm focus","Latin America","early-stage","media for equity; celebrity capital","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Independent media-for-equity and celebrity capital fund."
"Maguey Partners","Mexico","family office / VC","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Early-stage opportunities in Latin America."
"Morro Ventures","Puerto Rico","VC fund","recurrent LatAm focus","Latin America","early-stage","technology; Puerto Rico/LatAm","Low","3","","","directory/report","needs manual verification","Puerto Rico/Caribbean VC; needs validation."
"Overboost","Argentina","accelerator / venture builder","recurrent LatAm focus","Latin America","early-stage","digital tech; sector-agnostic","Low","3","","","directory/report","needs manual verification","Venture builder/accelerator; needs current validation."
"Parallel18 Ventures","Puerto Rico","accelerator / VC","recurrent LatAm focus","Latin America","early-stage","sector-agnostic; Puerto Rico/LatAm","Low","3","","","directory/report","needs manual verification","Puerto Rico accelerator with investment component."
"Polígono Capital","Mexico","family office / VC","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Mexican early-stage VC-style investor."
"Raio Capital","Brazil","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","ABVCAP member."
"Roquin Ventures","Mexico","corporate VC","recurrent LatAm focus","Latin America","early-stage","casino/group adjacencies; tech","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Foliatti Casino Group CVC."
"SaaSholic","Brazil","VC fund / angel syndicate","recurrent LatAm focus","Latin America","seed; early-stage","SaaS","Low","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League 2026 listed."
"Santa Maria Investment Group","Colombia / US","family office","recurrent LatAm focus","Latin America","early-stage","SaaS; fintech; proptech; AI","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Multi-generation family office backing LatAm startups."
"Sequoia Capital","United States / Global","global VC with LatAm deals","recurrent/selective LatAm activity","LatAm + global","early to growth","sector-agnostic; tech","Low","3","","https://www.lavca.org/members/","directory/report","source-listed","Selective LatAm activity."
"Sports Innovation Venture Capital","Argentina","VC / accelerator platform","recurrent LatAm focus","Latin America","early-stage","sports; gaming; tech innovation","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Specialist platform for sports/gaming innovation."
"Tokai Ventures","Uruguay","angel fund / VC-style","recurrent LatAm focus","Latin America","seed","sector-agnostic; Uruguay/LatAm","Low","3","","https://www.anii.org.uy/emprendimientos/fondos-de-capital-riesgo/","directory/report","source-listed","Uruguay angel fund with long track record."
"Trinity Capital Ventures","Colombia","corporate VC / family office","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Colombian venture investor."
"Ventura Strategy & Family Office","Colombia","family office","recurrent LatAm focus","Latin America","pre-seed; seed","sector-agnostic","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Single-family office with regional LatAm/US scope."
"Venture Do","Central America","VC / accelerator","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","","directory/report","needs manual verification","Central America startup investor; needs validation."
"Winnipeg Capital","Peru","VC / investment firm","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","3","","https://www.openvc.app/country/Peru","directory/report","source-listed","Peru-focused VC; needs current validation."
"Winter Kpital","Colombia","boutique investment firm","recurrent LatAm focus","Latin America","early-stage","innovation; corporate transformation","Low","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Boutique investment firm in innovation ecosystem."
