priority_score,investment_id,investor_id,startup_name,startup_id,country,round_stage,bio_theme,valuation_tier,has_amount,source_id,research_hint
3,manual-chileglobal-agrourbana,chileglobal_ventures,Agrourbana,agrourbana,CL,,Farm Intelligence,1,0,source: https://chileglobalventures.cl/en/portfolio/agrourbana/ | ChileGlobal Ve,Crunchbase: agrourbana | LinkedIn announcement | chileglobal_ventures portfolio
3,manual-chileglobal-matchetune,chileglobal_ventures,Matchetune,matchetune,CL,,Food Systems & Alt Proteins,1,0,source: https://chileglobalventures.cl/portafolio/matchetune/ | ChileGlobal Vent,Crunchbase: matchetune | LinkedIn announcement | chileglobal_ventures portfolio
3,manual-endurance28-biomakers,endurance_28,Biomakers,biomakers,AR,,Diagnostics & Health Access,1,0,source: https://www.endurance28.com/biomakers/ | Endurance28 official startup pa,Crunchbase: biomakers | LinkedIn announcement | endurance_28 portfolio
3,41,GridX,BioPlaster Research,bioplaster_research,MX,,Biomaterials & Circular Economy,1,0,src_www_gridexponential_com_portfolio,Crunchbase: bioplaster_research | LinkedIn announcement | GridX portfolio
3,manual-gridx-hiamet,GridX,HIAMET,HIAMET,AR,,Biomaterials & Circular Economy,1,0,https://www.gridexponential.com/portfolio,Crunchbase: HIAMET | LinkedIn announcement | GridX portfolio
3,0,GridX,Monte Caldera Technology,monte-caldera-technology,CL,,Biomaterials & Circular Economy,1,0,src_www_gridexponential_com_portfolio,Crunchbase: monte-caldera-technology | LinkedIn announcement | GridX portfolio
3,60,GridX,Syocin Biotech,syocin-biotech,AR,,Bioinputs & Crop Resilience,1,0,src_www_gridexponential_com_portfolio,Crunchbase: syocin-biotech | LinkedIn announcement | GridX portfolio
3,e261,GridX,WerkénVac,werk-nvac,AR,,Therapeutics,1,0,src_www_gridexponential_com_portfolio,Crunchbase: werk-nvac | LinkedIn announcement | GridX portfolio
3,manual-kptl-ages,kptl,AGES,ages,BR,,Food Systems & Alt Proteins,1,0,source: https://www.kptl.com.br/portfolio/ages/ | KPTL official portfolio profil,Crunchbase: ages | LinkedIn announcement | kptl portfolio
3,manual-kptl-agrotools,kptl,AGROTOOLS,agrotools,BR,,Farm Intelligence,1,0,source: https://www.kptl.com.br/portfolio/agrotools/ | KPTL official portfolio p,Crunchbase: agrotools | LinkedIn announcement | kptl portfolio
3,manual-kptl-omics,kptl,OMICS,omics,BR,,Therapeutics,1,0,source: https://kptl.com.br/portfolio/omics/?lang=en | KPTL official portfolio p,Crunchbase: omics | LinkedIn announcement | kptl portfolio
3,manual-kptl-smartbreeder,kptl,SmartBreeder,smartbreeder,BR,,Farm Intelligence,1,0,source: https://www.kptl.com.br/portfolio/smartbreeder/ | KPTL official portfoli,Crunchbase: smartbreeder | LinkedIn announcement | kptl portfolio
3,manual-kptl-tbit,kptl,TBIT,tbit,BR,,Farm Intelligence,1,0,source: https://www.kptl.com.br/portfolio/tbit/ | KPTL official portfolio profil,Crunchbase: tbit | LinkedIn announcement | kptl portfolio
3,manual-newtopia-nilus,newtopia_vc,Nilus,nilus,AR,,Farm Intelligence,1,0,source: https://newtopia.vc/portfolio/ | Newtopia official portfolio lists Nilus,Crunchbase: nilus | LinkedIn announcement | newtopia_vc portfolio
3,manual-newtopia-waterplan,newtopia_vc,Waterplan,waterplan,AR,,Nature & Ecosystem Tech,1,0,source: https://newtopia.vc/portfolio/ | Newtopia official portfolio lists Water,Crunchbase: waterplan | LinkedIn announcement | newtopia_vc portfolio
3,manual-spventures-aegro,sp_ventures,Aegro,aegro,BR,,Farm Intelligence,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: aegro | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-agrofy,sp_ventures,Agrofy,agrofy,AR,,Farm Intelligence,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: agrofy | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-brain-ag,sp_ventures,Brain.ag,brain_ag,BR,,Farm Intelligence,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: brain_ag | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-bug-agentes-biologicos,sp_ventures,BUG Agentes Biologicos,bug_agentes_biologicos,BR,,Bioinputs & Crop Resilience,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: bug_agentes_biologicos | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-decoy,sp_ventures,Decoy,decoy,BR,,Bioinputs & Crop Resilience,1,0,source: https://spventures.com.br/categorias-portfolio/alternative-inputs-biolog,Crunchbase: decoy | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-frizata,sp_ventures,Frizata,frizata,AR,,Food Systems & Alt Proteins,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: frizata | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-genotyping,sp_ventures,Genotyping,genotyping,BR,,Diagnostics & Health Access,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: genotyping | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-goflux,sp_ventures,goFlux,goflux,BR,,Farm Intelligence,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: goflux | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-horus-aeronaves,sp_ventures,Horus Aeronaves,horus_aeronaves,BR,,Farm Intelligence,1,0,source: https://www.lavca.org/sp-ventures-invests-r3m-in-horus-aeronaves-em-port,Crunchbase: horus_aeronaves | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-imeve,sp_ventures,Imeve,imeve,BR,,Therapeutics,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: imeve | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-inceres,sp_ventures,InCeres,inceres,BR,,Farm Intelligence,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: inceres | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-leaf,sp_ventures,Leaf,leaf,US,,Farm Intelligence,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: leaf | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-magnamed,sp_ventures,Magnamed,magnamed,BR,,Diagnostics & Health Access,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: magnamed | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-moss,sp_ventures,Moss,moss,BR,,Nature & Ecosystem Tech,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: moss | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-nexxto,sp_ventures,Nexxto,nexxto,BR,,Diagnostics & Health Access,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: nexxto | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-sette,sp_ventures,Sette,sette,BR,,Farm Intelligence,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: sette | LinkedIn announcement | sp_ventures portfolio
3,manual-spventures-speclab,sp_ventures,SpecLab,speclab,BR,,Biomanufacturing & Platform Technologies,1,0,source: https://www.spventures.com.br/ | SP Ventures legacy portfolio lists Spec,Crunchbase: speclab | LinkedIn announcement | sp_ventures portfolio
3,82,The Ganesha Lab,Amplify Dynamics,amplify-dynamics,CO,,Therapeutics,1,0,src_theganeshalab_com_startups,Crunchbase: amplify-dynamics | LinkedIn announcement | The Ganesha Lab portfolio
3,85,The Ganesha Lab,Delee,delee,MX,,Diagnostics & Health Access,1,0,src_theganeshalab_com_startups,Crunchbase: delee | LinkedIn announcement | The Ganesha Lab portfolio
3,84,The Ganesha Lab,Innovai,innovai,CL,,Food Systems & Alt Proteins,1,0,src_theganeshalab_com_startups,Crunchbase: innovai | LinkedIn announcement | The Ganesha Lab portfolio
3,94,The Ganesha Lab,metaBIX Biotech,metabix-biotech,UY,,Diagnostics & Health Access,1,0,src_theganeshalab_com_startups,Crunchbase: metabix-biotech | LinkedIn announcement | The Ganesha Lab portfolio
3,79,The Ganesha Lab,Patagon Fiber,patagon-fiber,CL,,Biomaterials & Circular Economy,1,0,src_theganeshalab_com_startups,Crunchbase: patagon-fiber | LinkedIn announcement | The Ganesha Lab portfolio
3,108,The Ganesha Lab,SciPhage,sciphage,CO,,Therapeutics,1,0,src_theganeshalab_com_startups,Crunchbase: sciphage | LinkedIn announcement | The Ganesha Lab portfolio
3,105,The Ganesha Lab,Tensor Care,tensor-care,CL,,Diagnostics & Health Access,1,0,src_theganeshalab_com_startups,Crunchbase: tensor-care | LinkedIn announcement | The Ganesha Lab portfolio
3,98,The Ganesha Lab,The Earth Says,the-earth-says,CL,,Farm Intelligence,1,0,src_theganeshalab_com_startups,Crunchbase: the-earth-says | LinkedIn announcement | The Ganesha Lab portfolio
3,manual-yieldlab-seedz,the_yield_lab_latam,Seedz,seedz,BR,,Farm Intelligence,1,0,source: https://theyieldlablatam.com/pt-br/companies/seedz/ | The Yield Lab Lata,Crunchbase: seedz | LinkedIn announcement | the_yield_lab_latam portfolio
3,manual-yieldlab-terramagna,the_yield_lab_latam,TerraMagna,terramagna,BR,,Farm Intelligence,1,0,source: https://theyieldlablatam.com/es/companies/terramagna/ | The Yield Lab La,Crunchbase: terramagna | LinkedIn announcement | the_yield_lab_latam portfolio
3,manual-yieldlab-um-grau-e-meio,the_yield_lab_latam,Um Grau e Meio,um_grau_e_meio,BR,,Nature & Ecosystem Tech,1,0,source: https://theyieldlablatam.com/companies/um-grau-e-meio/ | The Yield Lab L,Crunchbase: um_grau_e_meio | LinkedIn announcement | the_yield_lab_latam portfolio
3,manual-zentynel-asclepii,zentynel,Asclepii,asclepii,US,,Therapeutics,1,0,source: https://zentynel.com/en/portfolio/ | Zentynel official portfolio page li,Crunchbase: asclepii | LinkedIn announcement | zentynel portfolio
3,manual-zentynel-biomakers,zentynel,Biomakers,biomakers,AR,,Diagnostics & Health Access,1,0,source: https://zentynel.com/en/portfolio/ | Zentynel official portfolio page li,Crunchbase: biomakers | LinkedIn announcement | zentynel portfolio
3,manual-zentynel-hexembio,zentynel,HeXemBio,hexembio,US,,Therapeutics,1,0,source: https://zentynel.com/en/portfolio/ | Zentynel official portfolio page li,Crunchbase: hexembio | LinkedIn announcement | zentynel portfolio
3,manual-zentynel-momentum-therapeutics,zentynel,Momentum Therapeutics,momentum-therapeutics,CL,,Therapeutics,1,0,source: https://zentynel.com/en/portfolio/ | Zentynel official portfolio page li,Crunchbase: momentum-therapeutics | LinkedIn announcement | zentynel portfolio
3,manual-zentynel-neocrop,zentynel,Neocrop Technologies,neocrop-technologies,CL,,Bioinputs & Crop Resilience,1,0,source: https://zentynel.com/en/portfolio/ | Zentynel official portfolio page li,Crunchbase: neocrop-technologies | LinkedIn announcement | zentynel portfolio
3,manual-zentynel-samay,zentynel,Samay,samay,CO,,Diagnostics & Health Access,1,0,source: https://zentynel.com/en/portfolio/ | Zentynel official portfolio page li,Crunchbase: samay | LinkedIn announcement | zentynel portfolio
3,manual-zentynel-xeptiva,zentynel,Xeptiva,xeptiva,UY,,Therapeutics,1,0,source: https://zentynel.com/en/portfolio/ | Zentynel official portfolio page li,Crunchbase: xeptiva | LinkedIn announcement | zentynel portfolio
3,manual-eatable_adventures-sciphage-7f7ad2,eatable_adventures,SciPhage,sciphage,CO,,Therapeutics,1,0,https://eatableadventures.com/news/five-startups-set-to-transform-agrifood-innov,Crunchbase: sciphage | LinkedIn announcement | eatable_adventures portfolio
3,manual-the_yield_lab_latam-voa-ab7f37,the_yield_lab_latam,Voa,voa,BR,,Farm Intelligence,1,0,https://theyieldlablatam.com/companies/voa/,Crunchbase: voa | LinkedIn announcement | the_yield_lab_latam portfolio
3,manual-the_yield_lab_latam-sioma-e5b102,the_yield_lab_latam,Sioma,sioma,CO,,Farm Intelligence,1,0,https://theyieldlablatam.com/companies/sioma/,Crunchbase: sioma | LinkedIn announcement | the_yield_lab_latam portfolio
3,manual-the_yield_lab_latam-spaceag-a38214,the_yield_lab_latam,SpaceAG,spaceag,PE,,Farm Intelligence,1,0,https://theyieldlablatam.com/companies/spaceag/,Crunchbase: spaceag | LinkedIn announcement | the_yield_lab_latam portfolio
3,manual-idb_invest-ejido-verde-mx-f5d111,idb_invest,Ejido Verde,ejido-verde-mx,MX,,Biomaterials & Circular Economy,1,0,https://idbinvest.org/en/news-media/idb-invest-and-ejido-verde-promote-reforesta,Crunchbase: ejido-verde-mx | LinkedIn announcement | idb_invest portfolio
3,manual-gef-ejido-verde-mx-0499ce,gef,Ejido Verde,ejido-verde-mx,MX,,Biomaterials & Circular Economy,1,0,https://idbinvest.org/en/news-media/idb-invest-and-ejido-verde-promote-reforesta,Crunchbase: ejido-verde-mx | LinkedIn announcement | gef portfolio
3,merged-solubio-br-sp_ventures,sp_ventures,Solubio Tecnologias Agricolas,solubio,BR,,Bioinputs & Crop Resilience,1,0,https://lavca.org/2021/05/07/sp-ventures-invests-brl13-5m-in-brazilian-agtech-so,Crunchbase: solubio | LinkedIn announcement | sp_ventures portfolio
3,merged-solubio-br-aqua_capital,aqua_capital,Solubio Tecnologias Agricolas,solubio,BR,,Bioinputs & Crop Resilience,1,0,https://www.cbinsights.com/company/solubio,Crunchbase: solubio | LinkedIn announcement | aqua_capital portfolio
3,sweep-onevc-logshare,onevc,LogShare,logshare,BR,,Nature & Ecosystem Tech,1,0,src_https___onevc_vc,Crunchbase: logshare | LinkedIn announcement | onevc portfolio
3,sweep-onevc-terramagna,onevc,TerraMagna,terramagna,BR,,Farm Intelligence,1,0,src_https___onevc_vc,Crunchbase: terramagna | LinkedIn announcement | onevc portfolio
3,inv_9cfb8832,cuna_del_mar,Earth Ocean Farms,earth-ocean-farms-mx,MX,undisclosed,Nature & Ecosystem Tech,1,0,,Crunchbase: earth-ocean-farms-mx | LinkedIn announcement | cuna_del_mar portfolio
2,e81,GridX,Hiamet S.A,hiamet_s_a,,pre-seed,,0,0,https://www.gridexponential.com/portfolio,Crunchbase: hiamet_s_a | fondo: GridX newsletter/portfolio
2,e248,GridX,Monte Caldera,monte_caldera,,pre-seed,,0,0,https://www.gridexponential.com/portfolio,Crunchbase: monte_caldera | fondo: GridX newsletter/portfolio
2,manual-GridX-stamm-ar-d76523,GridX,Stamm,stamm-ar,AR,pre-seed,Biomanufacturing & Platform Technologies,0,0,https://www.gridexponential.com/portfolio,Crunchbase: stamm-ar | fondo: GridX newsletter/portfolio
1,186,SOSV_IndieBio,NotCo,NotCo,,,,0,0,src_indiebio_co_companies,Crunchbase: NotCo | LinkedIn announcement | SOSV_IndieBio portfolio
0,manual-1200-vc-clivi,1200_vc,Clivi,clivi,,,,0,0,src_www_twelvehundred_vc_investments,Crunchbase: clivi | LinkedIn announcement | 1200_vc portfolio
0,manual-1200-vc-general-biological,1200_vc,General Biological,general_biological,,,,0,0,src_www_twelvehundred_vc_investments,Crunchbase: general_biological | LinkedIn announcement | 1200_vc portfolio
0,142,AIR Capital,arcomedLab,arcomedLab,,,,0,0,src_www_aircapital_vc_portfolio,Crunchbase: arcomedLab | LinkedIn announcement | AIR Capital portfolio
0,124,AIR Capital,Feed Vax,Feed Vax,,,,0,0,src_www_aircapital_vc_portfolio,Crunchbase: Feed Vax | LinkedIn announcement | AIR Capital portfolio
0,113,AIR Capital,Open Water,Open Water,,,,0,0,src_www_aircapital_vc_portfolio,Crunchbase: Open Water | LinkedIn announcement | AIR Capital portfolio
0,e119,Antom,Kigui,Kigui,,,,0,0,src_www_antom_la_portfolio_projects_en,Crunchbase: Kigui | LinkedIn announcement | Antom portfolio
0,157,CITES,Ardan Pharma,Ardan Pharma,,,,0,0,src_cites_gss_com_en_portfolio_ardan_en,Crunchbase: Ardan Pharma | LinkedIn announcement | CITES portfolio
0,156,CITES,Bionirs,Bionirs,,,,0,0,src_cites_gss_com_en_portfolio,Crunchbase: Bionirs | LinkedIn announcement | CITES portfolio
0,160,CITES,Gbot,Gbot,,,,0,0,src_cites_gss_com_en_portfolio,Crunchbase: Gbot | LinkedIn announcement | CITES portfolio
0,152,DragonesVP,Amai Proteins,Amai Proteins,,,,0,0,src_www_dragones_vc_portfolio,Crunchbase: Amai Proteins | LinkedIn announcement | DragonesVP portfolio
0,143,DragonesVP,Armenta,Armenta,,,,0,0,src_www_dragones_vc_portfolio,Crunchbase: Armenta | LinkedIn announcement | DragonesVP portfolio
0,145,DragonesVP,FixUP,FixUP,,,,0,0,src_www_dragones_vc_portfolio,Crunchbase: FixUP | LinkedIn announcement | DragonesVP portfolio
0,148,DragonesVP,ngc Partners,ngc Partners,,,,0,0,src_www_dragones_vc_portfolio,Crunchbase: ngc Partners | LinkedIn announcement | DragonesVP portfolio
0,149,DragonesVP,Peek,Peek,,,,0,0,src_www_dragones_vc_portfolio,Crunchbase: Peek | LinkedIn announcement | DragonesVP portfolio
0,146,DragonesVP,Semtive,Semtive,,,,0,0,src_www_dragones_vc_portfolio,Crunchbase: Semtive | LinkedIn announcement | DragonesVP portfolio
0,150,DragonesVP,Unleash Immuno Oncolytics,Unleash Immuno Oncolytics,,,,0,0,src_www_dragones_vc_portfolio,Crunchbase: Unleash Immuno Oncolytics | LinkedIn announcement | DragonesVP portfolio
0,182,DraperCygnus,CargoProduce,CargoProduce,,,,0,0,src_www_drapercygnus_com_portfolio,Crunchbase: CargoProduce | LinkedIn announcement | DraperCygnus portfolio
0,176,DraperCygnus,Menta,Menta,,,,0,0,src_www_drapercygnus_com_portfolio,Crunchbase: Menta | LinkedIn announcement | DraperCygnus portfolio
0,180,DraperCygnus,Oasys,Oasys,,,,0,0,src_www_drapercygnus_com_portfolio,Crunchbase: Oasys | LinkedIn announcement | DraperCygnus portfolio
0,e20,GridX,Aplife,aplife,,,,0,0,src_www_gridexponential_com_portfolio,Crunchbase: aplife | LinkedIn announcement | GridX portfolio
0,16,GridX,AVaTAR,AVaTAR,,,,0,0,src_www_gridexponential_com_portfolio,Crunchbase: AVaTAR | LinkedIn announcement | GridX portfolio
0,e26,GridX,CASPR,caspr,,,,0,0,src_www_gridexponential_com_portfolio,Crunchbase: caspr | LinkedIn announcement | GridX portfolio
0,54,GridX,Elytron,Elytron,,,,0,0,src_www_gridexponential_com_portfolio,Crunchbase: Elytron | LinkedIn announcement | GridX portfolio
0,34,GridX,Eywa,Eywa,,,,0,0,src_www_gridexponential_com_portfolio,Crunchbase: Eywa | LinkedIn announcement | GridX portfolio
0,53,GridX,F4U,F4U,,,,0,0,src_www_gridexponential_com_portfolio,Crunchbase: F4U | LinkedIn announcement | GridX portfolio
0,e33,GridX,Feed Vax,Feed Vax,,,,0,0,src_www_gridexponential_com_portfolio,Crunchbase: Feed Vax | LinkedIn announcement | GridX portfolio
0,e85,GridX,Nano Jump,nano_jump,,,,0,0,src_www_gridexponential_com_portfolio,Crunchbase: nano_jump | LinkedIn announcement | GridX portfolio
0,51,GridX,Nanogrow,Nanogrow,,,,0,0,src_www_gridexponential_com_portfolio,Crunchbase: Nanogrow | LinkedIn announcement | GridX portfolio
0,e90,GridX,Naturanova,naturanova,,,,0,0,src_www_gridexponential_com_portfolio,Crunchbase: naturanova | LinkedIn announcement | GridX portfolio
0,50,GridX,New Organs,New Organs,,,,0,0,src_www_gridexponential_com_portfolio,Crunchbase: New Organs | LinkedIn announcement | GridX portfolio
0,9,GridX,Scitherm,Scitherm,,,,0,0,src_www_gridexponential_com_portfolio,Crunchbase: Scitherm | LinkedIn announcement | GridX portfolio
0,e99,GridX,Syocin Bio,syocin_bio,,,,0,0,src_www_gridexponential_com_portfolio,Crunchbase: syocin_bio | LinkedIn announcement | GridX portfolio
0,e115,inventure,Kigui,Kigui,,,,0,0,src_latam_coinvest_graphml_v3,Crunchbase: Kigui | LinkedIn announcement | inventure portfolio
0,191,SOSV_IndieBio,BitMEX,BitMEX,,,,0,0,src_indiebio_co_companies,Crunchbase: BitMEX | LinkedIn announcement | SOSV_IndieBio portfolio
0,e21,SOSV_IndieBio,CASPR,caspr,,,,0,0,src_latam_coinvest_graphml_v3,Crunchbase: caspr | LinkedIn announcement | SOSV_IndieBio portfolio
0,185,SOSV_IndieBio,Formlabs,Formlabs,,,,0,0,src_indiebio_co_companies,Crunchbase: Formlabs | LinkedIn announcement | SOSV_IndieBio portfolio
0,189,SOSV_IndieBio,Neptune Robotics,Neptune Robotics,,,,0,0,src_indiebio_co_companies,Crunchbase: Neptune Robotics | LinkedIn announcement | SOSV_IndieBio portfolio
0,184,SOSV_IndieBio,Opentrons,Opentrons,,,,0,0,src_indiebio_co_companies,Crunchbase: Opentrons | LinkedIn announcement | SOSV_IndieBio portfolio
0,187,SOSV_IndieBio,Prolific Machines,Prolific Machines,,,,0,0,src_indiebio_co_companies,Crunchbase: Prolific Machines | LinkedIn announcement | SOSV_IndieBio portfolio
0,190,SOSV_IndieBio,Smartex,Smartex,,,,0,0,src_indiebio_co_companies,Crunchbase: Smartex | LinkedIn announcement | SOSV_IndieBio portfolio
0,188,SOSV_IndieBio,unSpun,unSpun,,,,0,0,src_indiebio_co_companies,Crunchbase: unSpun | LinkedIn announcement | SOSV_IndieBio portfolio
0,manual-spventures-agroadvance,sp_ventures,Agroadvance,agroadvance,BR,,,0,0,src_spventures_com_br_portfolio_agroadvance,Crunchbase: agroadvance | LinkedIn announcement | sp_ventures portfolio
0,manual-spventures-concil,sp_ventures,Concil,concil,BR,,,0,0,src_spventures_com_br_portfolio,Crunchbase: concil | LinkedIn announcement | sp_ventures portfolio
0,manual-spventures-erural,sp_ventures,Erural,erural,BR,,,0,0,src_spventures_com_br_portfolio,Crunchbase: erural | LinkedIn announcement | sp_ventures portfolio
0,manual-spventures-geofusion,sp_ventures,Geofusion,geofusion,BR,,,0,0,src_spventures_com_br_portfolio,Crunchbase: geofusion | LinkedIn announcement | sp_ventures portfolio
0,manual-spventures-lupeon,sp_ventures,Lupeon,lupeon,BR,,,0,0,src_spventures_com_br_portfolio,Crunchbase: lupeon | LinkedIn announcement | sp_ventures portfolio
0,manual-spventures-verge-ag,sp_ventures,Verge Ag,verge_ag,CA,,,0,0,src_vergeag_com_blog_post_sp_ventures_invests_in_verge_ag1,Crunchbase: verge_ag | LinkedIn announcement | sp_ventures portfolio
0,90,The Ganesha Lab,Aictive,Aictive,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Aictive | LinkedIn announcement | The Ganesha Lab portfolio
0,89,The Ganesha Lab,arcomedLab,arcomedLab,,,,0,0,src_theganeshalab_com_startups,Crunchbase: arcomedLab | LinkedIn announcement | The Ganesha Lab portfolio
0,106,The Ganesha Lab,Bee Technology,Bee Technology,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Bee Technology | LinkedIn announcement | The Ganesha Lab portfolio
0,95,The Ganesha Lab,Bifidice,Bifidice,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Bifidice | LinkedIn announcement | The Ganesha Lab portfolio
0,86,The Ganesha Lab,Biogea,Biogea,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Biogea | LinkedIn announcement | The Ganesha Lab portfolio
0,93,The Ganesha Lab,Biome Resources,Biome Resources,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Biome Resources | LinkedIn announcement | The Ganesha Lab portfolio
0,112,The Ganesha Lab,CuperScience,CuperScience,,,,0,0,src_theganeshalab_com_startups,Crunchbase: CuperScience | LinkedIn announcement | The Ganesha Lab portfolio
0,107,The Ganesha Lab,EcoAustralis,EcoAustralis,,,,0,0,src_theganeshalab_com_startups,Crunchbase: EcoAustralis | LinkedIn announcement | The Ganesha Lab portfolio
0,81,The Ganesha Lab,Eywa,Eywa,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Eywa | LinkedIn announcement | The Ganesha Lab portfolio
0,99,The Ganesha Lab,Farmtastica,Farmtastica,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Farmtastica | LinkedIn announcement | The Ganesha Lab portfolio
0,103,The Ganesha Lab,GlucoLib,GlucoLib,,,,0,0,src_theganeshalab_com_startups,Crunchbase: GlucoLib | LinkedIn announcement | The Ganesha Lab portfolio
0,102,The Ganesha Lab,Luyef,Luyef,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Luyef | LinkedIn announcement | The Ganesha Lab portfolio
0,101,The Ganesha Lab,Pannex,Pannex,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Pannex | LinkedIn announcement | The Ganesha Lab portfolio
0,111,The Ganesha Lab,Purple Dental,Purple Dental,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Purple Dental | LinkedIn announcement | The Ganesha Lab portfolio
0,109,The Ganesha Lab,Retidiag,Retidiag,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Retidiag | LinkedIn announcement | The Ganesha Lab portfolio
0,97,The Ganesha Lab,Risas Pendientes,Risas Pendientes,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Risas Pendientes | LinkedIn announcement | The Ganesha Lab portfolio
0,100,The Ganesha Lab,Smart Tissues,Smart Tissues,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Smart Tissues | LinkedIn announcement | The Ganesha Lab portfolio
0,104,The Ganesha Lab,Soleit,Soleit,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Soleit | LinkedIn announcement | The Ganesha Lab portfolio
0,88,The Ganesha Lab,Synergic Bio Solutions,Synergic Bio Solutions,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Synergic Bio Solutions | LinkedIn announcement | The Ganesha Lab portfolio
0,83,The Ganesha Lab,Trears Biomarkers,Trears Biomarkers,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Trears Biomarkers | LinkedIn announcement | The Ganesha Lab portfolio
0,91,The Ganesha Lab,Vali,Vali,,,,0,0,src_theganeshalab_com_startups,Crunchbase: Vali | LinkedIn announcement | The Ganesha Lab portfolio
0,manual-sp_ventures-solubio-br-7ee606,sp_ventures,SoluBio,solubio-br,BR,,Bioinputs & Crop Resilience,0,0,https://lavca.org/2021/05/07/sp-ventures-invests-brl13-5m-in-brazilian-agtech-so,Crunchbase: solubio-br | LinkedIn announcement | sp_ventures portfolio
0,manual-aqua_capital-solubio-br-12159b,aqua_capital,SoluBio,solubio-br,BR,,Bioinputs & Crop Resilience,0,0,https://www.cbinsights.com/company/solubio,Crunchbase: solubio-br | LinkedIn announcement | aqua_capital portfolio
