"startup_id","startup_name","macro_theme","emergent_theme","thesis_fit","scope_decision","scope_reason","scope_source","structured_sector","confidence"
"sioma","Sioma","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_portfolio_signal_material_ag_system","yieldlab_portfolio_official","","0.84"
"sirena","Sirena","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"skyloom","Skyloom","frontier hardware and infrastructure systems","space optical communications","core","exclude","official_site_signal_non_thesis_space_infrastructure","skyloom_official_site","Other / Unclassified","0.88"
"smartbreeder","SmartBreeder","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_portfolio_signal_material_ag_system","kptl_portfolio_official","","0.83"
"solfium","Solfium","climate, energy and resource systems","distributed clean-energy deployment","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","Other / Unclassified","0.82"
"solinftec","Solinftec","precision agriculture and resource intelligence","autonomous agriculture and resource-efficient farming","core","include","bio_centric_precision_agriculture_and_resource_efficiency","external_atlas_official_site_validated","","0.86"
"solubio","Solubio Tecnologias Agricolas","ag biologicals and crop resilience","on-farm bioinput production","core","include","core_bio_ag_biologicals_and_bioinputs","brasil_bio_import_official_site","","0.88"
"soygreen","SoyGREEN","ag biologicals and crop resilience","extremophile microbial ag inputs","core","include","candidate_website_signal_material_ag_system","user_gemini_candidate_csv","Other / Unclassified","0.76"
"spaceag","SpaceAG","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_portfolio_signal_material_ag_system","yieldlab_portfolio_official","","0.83"
"speclab","SpecLab","diagnostics and medtech","analytical diagnostics and spectral sensing","core","include","bio_centric_analytical_infrastructure","speclab_official_site","","0.84"
"spectrum","Spectrum","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","services_platform_outside_thesis","spectrum_public_site","Other / Unclassified","0.82"
"spherebio","SphereBio","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_website_signal_bio_based_or_biocentric","spherebio_official_site","Digital Economy","0.92"
"splight","Splight","climate, energy and resource systems","AI grid optimization and renewable integration","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","Bio·Industry","0.82"
"spline","Spline","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","public_reporting","Other / Unclassified","0.85"
"stamm","Stämm","biomanufacturing and bioindustrial platforms","continuous programmable biomanufacturing","core","include","official_website_signal_core_biomanufacturing","stamm_official_site","Digital Economy","0.84"
"starlight_ventures","Starlight Ventures","peripheral or underclassified ventures","non-startup or ecosystem actor misclassified","under_review","exclude","non_startup_entity_or_scope_misclassification","manual_research_resolution","Other / Unclassified","0.62"
"stradot","Stradot","peripheral or non-core digital ventures","urban parking and mobility infrastructure","peripheral","exclude","urban_mobility_infrastructure_no_bio_materiality_signal","crunchbase_profile","Digital Economy","0.76"
"strike","Strike","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","strike_official_site","Other / Unclassified","0.9"
"sylvarum","Sylvarum","ag biologicals and crop resilience","non-thermal plasma seed treatment","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_06_2026_05_08","Agri·Food·Land Use","0.9"
"symbiomics","Symbiomics","ag biologicals and crop resilience","ag biologicals and microbial discovery","core","include","core_bio_ag_biologicals_and_ai_discovery","external_atlas_external_profile_validated","","0.84"
"synthetic_ocular_restoration","Synthetic Ocular Restoration","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_website_signal_bio_based_or_biocentric","official_website","Other / Unclassified","0.9"
"syocin-biotech","Syocin Biotech","ag biologicals and crop resilience","ag biologicals and crop resilience","core","include","official_website_signal_bio_based_or_biocentric","syocin_official_site","","0.92"
"tbit","TBIT","precision agriculture and resource intelligence","seed and grain quality intelligence","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","","0.84"
"teachy","Teachy","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","teachy_official_site","Other / Unclassified","0.9"
"tell","Tell","diagnostics and medtech","diagnostics and medtech","core","include","official_portfolio_signal_bio_based_or_biocentric","ganesha_portfolio_official","Other / Unclassified","0.88"
"tensor-care","Tensor Care","diagnostics and medtech","diagnostics and medtech","core","include","external_source_signal_bio_based_or_biocentric","f6s_profile_and_ganesha_portfolio","","0.84"
"teramot","Teramot","peripheral or non-core digital ventures","AI agent connectivity infrastructure","peripheral","exclude","full_digital_ai_agent_infrastructure_no_materiality_signal","linkedin_company_profile","Other / Unclassified","0.88"
"terramagna","TerraMagna","climate, energy and resource systems","agricultural credit and risk intelligence","core","include","bio_centric_ag_finance_and_risk_infrastructure","brasil_bio_import_official_site","","0.82"
"tesabio_ai","Tesabio.ai","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_site_signal_bio_based_or_biocentric","tesabio_official_site","Other / Unclassified","0.92"
"the-earth-says","The Earth Says","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","external_source_signal_biocentric_material_ag_system","f6s_profile_and_ganesha_portfolio","","0.86"
"tintte","Tintte","biobased chemistry and advanced materials","biobased chemistry and materials","core","include","official_public_signal_biobased_textile_materials","cancilleria_and_descubre_profile","Digital Economy","0.92"
"tissue_dynamics","Tissue Dynamics","therapeutics and regenerative medicine","organ models and drug discovery platforms","core","exclude","non_latam_biotech_company_despite_strong_bio_relevance","manual_credibility_cleanup_2026_05_08","Digital Economy","0.94"
"tomorrow_foods","Tomorrow Foods","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_site_signal_bio_based_or_biocentric","tomorrow_foods_official_site","Agri·Food·Land Use","0.83"
"tracestory","Tracestory","climate, energy and resource systems","climate and resource intelligence platforms","core","include","official_site_signal_transparency_mrv_material_chains","tracestory_official_site","Other / Unclassified","0.78"
"traive","Traive","climate, energy and resource systems","agricultural credit and risk intelligence","core","include","bio_centric_ag_finance_and_risk_infrastructure","external_atlas_official_site_validated","","0.82"
"travelx","TravelX","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"trebe_biotech","Trebe Biotech","food biotech and novel ingredients","complex protein production and biomanufacturing","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_05_2026_05_08","Agri·Food·Land Use","0.72"
"tuplaza","TuPlaza","climate, energy and resource systems","fresh food supply-chain infrastructure","core","include","bio_centric_food_supply_chain_efficiency","external_profile_validated","","0.7"
"uala","Ualá","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"ubique_bio","Ubique Bio","diagnostics and medtech","health diagnostics and medtech","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Digital Economy","0.82"
"um_grau_e_meio","Um Grau e Meio","climate, energy and resource systems","planetary monitoring and resilience systems","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","","0.86"
"unibaio","Unibaio","ag biologicals and crop resilience","ag biologicals and crop resilience","core","include","official_portfolio_signal_bio_based_or_biocentric","sosv_indiebio_portfolio_official","Agri·Food·Land Use","0.9"
"untech","UnTech","diagnostics and medtech","health diagnostics and medtech","core","include","candidate_website_signal_biocentric_health_system","user_gemini_candidate_csv","Human Health","0.76"
"updairy","Updairy","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_website_signal_precision_fermentation_food_biotech","updairy_official_site","Agri·Food·Land Use","0.94"
"vercel","Vercel","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"verge_ag","Verge Ag","precision agriculture and resource intelligence","farm machinery optimization","core","exclude","non_latam_company_despite_ag_relevance","geography_exclusion_source_backed","","0.78"
"verqor","Verqor","climate, energy and resource systems","traceability and tokenized resource infrastructure","core","include","official_portfolio_signal_material_ag_system","yieldlab_portfolio_official","","0.7"
"vexxel_biotech","Vexxel Biotech","ag biologicals and crop resilience","genome-enabled crop resilience","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Agri·Food·Land Use","0.78"
"viewmind","ViewMind","diagnostics and medtech","health diagnostics and medtech","core","include","official_website_signal_bio_based_or_biocentric","viewmind_official_site","Human Health","0.92"
"vixtra","Vixtra","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","vixtra_official_site","Other / Unclassified","0.9"
"vmind","VMind","peripheral or non-core digital ventures","AI compute acceleration software","peripheral","exclude","full_digital_ai_infrastructure_no_bio_materiality_signal","f6s_profile","Other / Unclassified","0.82"
"voa","Voa","precision agriculture and resource intelligence","precision agriculture and resource intelligence","core","include","official_portfolio_signal_material_ag_system","yieldlab_portfolio_official","","0.84"
"vu","Vu","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","vu_official_site","Other / Unclassified","0.9"
"waterplan","Waterplan","climate, energy and resource systems","water risk and stewardship intelligence","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","","0.9"
"webee","Webee","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","official_site_signal_non_thesis_industrial_software","webee_official_site","Digital Economy","0.9"
"werk-nvac","WerkénVac","ag biologicals and crop resilience","ag biologicals and animal resilience","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","","0.85"
"wiagro","Wiagro","precision agriculture and resource intelligence","post-harvest monitoring and traceability","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","Agri·Food·Land Use","0.88"
"wisy","Wisy","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_cpg_retail_execution_no_bio_materiality_signal","wisy_official_site","Other / Unclassified","0.9"
"workana","Workana","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"xeptiva","Xeptiva","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_portfolio_signal_bio_based_or_biocentric","zentynel_portfolio_official","","0.9"
"zavia_bio","Zavia Bio","ag biologicals and crop resilience","ag biologicals and crop resilience","core","include","external_profile_signal_bio_based_or_biocentric","zavia_bio_linkedin_official","Agri·Food·Land Use","0.79"
"zev_biotech","ZEV Biotech","diagnostics and medtech","health diagnostics and medtech","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Digital Economy","0.82"
"zipnova","Zipnova","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"zoomagri","ZoomAgri","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_site_signal_material_ag_system","zoomagri_official_site","Agri·Food·Land Use","0.89"
